feature,fold,a0,a_f,b0,b_f,f_mean_train,f_std_train,train_sh,test_sh,baseline_test_sh,delta_test_sh,test_ann_ret,mean_total
sp_in_range,W3,2.425361057419655,0.6072193990787607,1.6277630182139218,-0.47697030869304907,0.696148390838617,0.35958514788734236,0.7199016213205671,0.7664053351458576,0.6164363714657286,0.14996896368012902,22.22877815933122,1.88135593220339
ndx_52wh_ratio,W1,2.274519717757018,1.0066157913050067,1.428316459033371,-0.9282743970611648,0.8990759593581201,0.14995821375402535,0.6809316564876239,1.2967026841766904,1.2967026841766904,0.0,30.76771368696205,2.0
ndx_52wh_ratio,W2,1.8336243110711996,0.8904296319006391,1.7357178770253199,-1.2741927764546424,0.903311576060255,0.15179181971720215,0.5165835411297399,0.6068564063389054,0.06556608624014779,0.5412903200987575,15.393044047011518,1.9661016949152543
ndx_52wh_ratio,W3,1.911423892294385,0.5027392224336692,2.097373609563508,-0.8039926268320038,0.908613220077986,0.14959982611567346,0.6863174179105668,0.9424738852488476,0.6164363714657286,0.32603751378311896,24.90385959999688,1.7796610169491525
ndx_52wl_ratio,W1,1.4552504008945304,1.0113333936649225,1.0872603779432757,-0.5807469954772297,1.2863869735146654,0.2315102448427859,0.47456176056424476,0.34136822784272863,1.2967026841766904,-0.9553344563339619,4.487873272240384,1.6271186440677967
ndx_52wl_ratio,W2,1.3461126418738147,0.4690549159419458,2.4663640435427783,-0.43328041723696076,1.2780541056124106,0.2225189390705245,0.4913520756434474,0.0,0.06556608624014779,-0.06556608624014779,1.145185036762264,1.0
ndx_52wl_ratio,W3,2.196463136534123,0.4401270705936149,1.857245618739534,-0.28399076679777985,1.1948486988509632,0.1300445155364309,0.6035797219357252,0.5546524480046908,0.6164363714657286,-0.06178392346103778,15.07686890113682,1.8135593220338984
ndx_in_range,W1,1.951798721570708,1.3824588315680428,1.942191693249349,-1.0203052360614617,0.6913672968326102,0.3551983068590491,0.5980553800777137,0.9731532802818248,1.2967026841766904,-0.32354940389486564,19.596854316449132,1.8983050847457628
ndx_in_range,W2,2.1884010056704644,0.41565284192562885,1.7349717622973138,-0.49091409800363794,0.7143372296968421,0.3460666481044845,0.5348787983851417,0.5189986326587879,0.06556608624014779,0.45343254641864006,12.397265662970835,1.9152542372881356
ndx_in_range,W3,2.087826523066004,0.5557479831425288,1.2096134013275106,-0.7964348450861025,0.7010281629827261,0.35317710499336563,0.7089470735420703,0.9559911925026449,0.6164363714657286,0.33955482103691625,25.453754978491382,1.7796610169491525
