month,date,n_alive,mean_lam,median_lam,std_lam,mean_pp,min_pp,max_pp,mean_alpha,mean_beta
45,2014-10-31,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.4435211708659432,0.7097080039718052,1.9575572335565385,1.6940901432106727,1.5559098567893268
46,2014-11-30,300,1.8739879387291418,0.8270371423739431,2.4592072675289898,1.425729805505326,0.7056970204421045,1.930313967327767,1.6940901432106727,1.5559098567893268
47,2014-12-31,298,1.8707674066317652,0.8209077864884007,2.4669534578419876,1.3437873349797824,0.7086741695608497,1.7915928232208564,1.6988801131161795,1.55111988688382
48,2015-01-31,300,1.8658138933933102,0.8209077864884007,2.459904585855892,1.4554604355753955,0.70792273776672,1.9812243381459462,1.6985329135941791,1.5514670864058209
49,2015-02-28,300,1.8658138933933102,0.8209077864884007,2.459904585855892,1.4128074465153535,0.7061743214950341,1.9099296343781602,1.6985329135941791,1.5514670864058209
50,2015-03-31,299,1.8613013913011534,0.8178566968761815,2.4627747895135155,1.4196848171058156,0.7069650476156364,1.9224722839558,1.7016348757216455,1.5483651242783545
51,2015-04-30,299,1.8613013913011534,0.8178566968761815,2.4627747895135155,1.4304629320090694,0.7013268196864947,1.944504642825185,1.7016348757216455,1.5483651242783545
52,2015-05-31,299,1.8613013913011534,0.8178566968761815,2.4627747895135155,1.3841250337027693,0.7010836970045945,1.8628781701447716,1.7016348757216455,1.5483651242783545
53,2015-06-30,298,1.8570145660414634,0.8095050702663449,2.4657895692537406,1.4223857376719249,0.7023148600913887,1.9254876934867489,1.7047099711214062,1.5452900288785938
54,2015-07-31,294,1.8343760198188395,0.7891810618970858,2.474203628670487,1.279000430734159,0.7007711620450158,1.6776238975570033,1.718003125531632,1.531996874468368
55,2015-08-31,273,1.5717547473720062,0.6824664268478826,2.297346084220949,1.255590374049401,0.7002021116433742,1.5764027621868728,1.8059582987144303,1.4440417012855702
56,2015-09-30,265,1.4255664068971967,0.6387018985265115,2.140980028143783,1.417133418837706,0.7001643367891223,1.8113798882900511,1.8461187869974174,1.4038812130025822
57,2015-10-31,265,1.4255664068971967,0.6387018985265115,2.140980028143783,1.417804277437268,0.7001718163443106,1.8121593446510598,1.8461187869974174,1.4038812130025822
58,2015-11-30,258,1.3033772789344489,0.6302071444273573,2.008494696453385,1.377326474915508,0.7000165428122108,1.7315965552906076,1.882467747024341,1.3675322529756588
59,2015-12-31,255,1.2703967136207335,0.6183313976933382,1.9939989395884004,1.2540470766839535,0.7056711660059527,1.5459857537698278,1.8968624867240405,1.3531375132759593
60,2016-01-31,297,1.113873720366866,0.5291166973955771,1.8729265291705204,1.1994743731336472,0.7077561328281646,1.5171062556323982,1.9987325390531654,1.2512674609468348
61,2016-02-29,297,1.113873720366866,0.5291166973955771,1.8729265291705204,1.2994345638956348,0.7089718482114337,1.6988373082816997,1.9987325390531654,1.2512674609468348
62,2016-03-31,297,1.113873720366866,0.5291166973955771,1.8729265291705204,1.2902577006925164,0.701365226075692,1.6893528546427312,1.9987325390531654,1.2512674609468348
63,2016-04-30,295,1.1037840764462086,0.5280723564815862,1.8749075766669059,1.308556774687569,0.7050378792833085,1.7177665315429065,2.006078844550992,1.243921155449008
64,2016-05-31,295,1.1037840764462086,0.5280723564815862,1.8749075766669059,1.3098054772970724,0.7050562695324597,1.7207135386819397,2.006078844550992,1.243921155449008
65,2016-06-30,295,1.1037840764462086,0.5280723564815862,1.8749075766669059,1.3791156288996462,0.7019165071497568,1.8268674035936736,2.006078844550992,1.243921155449008
66,2016-07-31,295,1.1037840764462086,0.5280723564815862,1.8749075766669059,1.373833713932258,0.7004522727480259,1.8189317062808574,2.006078844550992,1.243921155449008
67,2016-08-31,293,1.0936707183642456,0.5269796479908089,1.8771360881330283,1.3642221155735048,0.7014132115997032,1.7997981776158876,2.0135459666170177,1.236454033382982
68,2016-09-30,292,1.090804706296468,0.5228635156529446,1.8797075421204728,1.3086653816103562,0.7066622203326078,1.717829454213371,2.0166436984759786,1.2333563015240219
69,2016-10-31,292,1.090804706296468,0.5228635156529446,1.8797075421204728,1.3791526082452823,0.7026194546860461,1.820912683400449,2.0166436984759786,1.2333563015240219
70,2016-11-30,289,1.0557838457580526,0.5049637982744455,1.8543507098749799,1.4220402850503064,0.7014414571061518,1.87328598456492,2.031149410540453,1.2188505894595476
71,2016-12-31,285,0.9437167362839701,0.5012372286353897,1.5671224987668237,1.4667218617225388,0.7002352478332036,1.926129289869806,2.054675225778572,1.1953247742214281
72,2017-01-31,299,0.9001304020261537,0.479740633679166,1.5228633672640997,1.5321455817724934,0.7004854094588308,2.0584559544994105,2.083856895786886,1.1661431042131138
73,2017-02-28,299,0.9001304020261537,0.479740633679166,1.5228633672640997,1.5310457065427001,0.7004707345132734,2.056779099247049,2.083856895786886,1.1661431042131138
74,2017-03-31,288,0.6658755047624463,0.4612195608235279,0.579577499123597,1.5643581340506205,0.7032233433088285,2.0615479430728025,2.143884385830064,1.1061156141699364
75,2017-04-30,287,0.6614169950601692,0.45942942235817985,0.5756349042183119,1.58577300379722,0.7010467323997199,2.088897430039078,2.1475098014584777,1.1024901985415225
76,2017-05-31,287,0.6614169950601692,0.45942942235817985,0.5756349042183119,1.5986440570286249,0.7014499188781657,2.1083508534210162,2.1475098014584777,1.1024901985415225
77,2017-06-30,286,0.655279901829188,0.4588971813774435,0.5671900789369112,1.6483726806457346,0.7072276967292064,2.1791908929062336,2.151692594718587,1.0983074052814128
78,2017-07-31,286,0.655279901829188,0.4588971813774435,0.5671900789369112,1.640098760517345,0.7031457557635153,2.16853832968762,2.151692594718587,1.0983074052814128
79,2017-08-31,286,0.655279901829188,0.4588971813774435,0.5671900789369112,1.6866474086496521,0.701046904990415,2.2404403228569847,2.151692594718587,1.0983074052814128
80,2017-09-30,284,0.6436828494944786,0.4557680116404713,0.5519287845735616,1.7492755936574937,0.716961914968323,2.324009006583886,2.1599039731479164,1.0900960268520836
81,2017-10-31,284,0.6436828494944786,0.4557680116404713,0.5519287845735616,1.8241212644662321,0.7144801448072698,2.4402751816752772,2.1599039731479164,1.0900960268520836
82,2017-11-30,284,0.6436828494944786,0.4557680116404713,0.5519287845735616,1.848940784938961,0.7130453715844466,2.4805367303650403,2.1599039731479164,1.0900960268520836
83,2017-12-31,284,0.6436828494944786,0.4557680116404713,0.5519287845735616,2.0127898907195587,0.7082412498557376,2.735509813116987,2.1599039731479164,1.0900960268520836
84,2018-01-31,299,0.6246003325771373,0.4449356009886428,0.5355824886797829,1.8327646897105745,0.7056992766602759,2.524757308405334,2.177212812119762,1.0727871878802382
85,2018-02-28,299,0.6246003325771373,0.4449356009886428,0.5355824886797829,1.7494768851330946,0.7052811691767169,2.391791474632963,2.177212812119762,1.0727871878802382
86,2018-03-31,297,0.6131045624275474,0.4438669892373292,0.5180399117605521,1.7424815047054016,0.7009594825876627,2.3735113800060073,2.1852470042030037,1.0647529957969963
87,2018-04-30,295,0.6017991281879205,0.4348860093075483,0.5011984400557091,1.7967229970720435,0.7007290636142477,2.4466653869245265,2.1933454977291205,1.0566545022708793
88,2018-05-31,295,0.6017991281879205,0.4348860093075483,0.5011984400557091,1.807040154742253,0.7009784768531038,2.464486143296214,2.1933454977291205,1.0566545022708793
89,2018-06-30,293,0.5914947717454937,0.43239210549096707,0.48708442854142897,1.9090589207458064,0.7056347671119297,2.614359799999351,2.2011869106830755,1.0488130893169247
90,2018-07-31,293,0.5914947717454937,0.43239210549096707,0.48708442854142897,1.9886120578019864,0.7056220843775536,2.753298163883448,2.2011869106830755,1.0488130893169247
91,2018-08-31,293,0.5914947717454937,0.43239210549096707,0.48708442854142897,1.9958692987715503,0.7039106450627162,2.7679638969454676,2.2011869106830755,1.0488130893169247
92,2018-09-30,293,0.5914947717454937,0.43239210549096707,0.48708442854142897,1.7709732885471927,0.7011535930509333,2.423523609121925,2.2011869106830755,1.0488130893169247
93,2018-10-31,293,0.5914947717454937,0.43239210549096707,0.48708442854142897,1.818327761422589,0.7013463380751621,2.4818460808594747,2.2011869106830755,1.0488130893169247
94,2018-11-30,289,0.5712297092710886,0.41954857709662974,0.4583938489645794,1.6057207704012457,0.7172769857192062,2.236532065839126,2.216896143327385,1.033103856672615
95,2018-12-31,289,0.5712297092710886,0.41954857709662974,0.4583938489645794,1.7305892555964322,0.7103059668554488,2.3634721169289112,2.216896143327385,1.033103856672615
96,2019-01-31,300,0.5693133725074541,0.4289311675043647,0.4552711792379945,1.7500659507014007,0.7086505411730277,2.4379393355911265,2.218147919510625,1.031852080489375
97,2019-02-28,300,0.5693133725074541,0.4289311675043647,0.4552711792379945,1.7630614917626166,0.708653943627833,2.511568696186815,2.218147919510625,1.031852080489375
98,2019-03-31,300,0.5693133725074541,0.4289311675043647,0.4552711792379945,1.8288472527270387,0.7006642009399815,2.6674817787192024,2.218147919510625,1.031852080489375
99,2019-04-30,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.6190239077780173,0.7289434843901588,2.3058904427901403,2.222078506914312,1.0279214930856877
100,2019-05-31,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.7586616923107614,0.7690806959726593,2.6060120532091577,2.222078506914312,1.0279214930856877
101,2019-06-30,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.7772897239957628,0.7757399850315783,2.6390507285272857,2.222078506914312,1.0279214930856877
102,2019-07-31,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.7334854571049862,0.7607620870615424,2.5462129814417955,2.222078506914312,1.0279214930856877
103,2019-08-31,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.7743973355141955,0.7693725507597005,2.6136990882058435,2.222078506914312,1.0279214930856877
104,2019-09-30,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.8251831797075808,0.7652026550444143,2.697630519903715,2.222078506914312,1.0279214930856877
105,2019-10-31,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.9174963240250908,0.7594332777802179,2.8513465839190455,2.222078506914312,1.0279214930856877
106,2019-11-30,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,2.0040059274497275,0.7553947912939751,2.989511181281581,2.222078506914312,1.0279214930856877
107,2019-12-31,299,0.5641394926216453,0.4271161910506592,0.44714019457138027,1.9792566815444737,0.7483980832930517,2.9519483483957534,2.222078506914312,1.0279214930856877
108,2020-01-31,300,0.562570141567726,0.4233323840736445,0.44721840493476434,1.6980894635079498,0.7130186823885769,2.47478700772561,2.224580107502439,1.025419892497561
109,2020-02-29,286,0.569672675271636,0.4233323840736445,0.4538974237718132,1.369342891974749,0.7042510154042817,1.8700039629888712,2.218031999556584,1.0319680004434162
110,2020-03-31,286,0.569672675271636,0.4233323840736445,0.4538974237718132,1.6530982537237637,0.7271484744474284,2.281073155628263,2.218031999556584,1.0319680004434162
111,2020-04-30,283,0.5563286439125954,0.4194347983760993,0.4372608391994782,1.6920449542418394,0.7025105375518974,2.3269036332281385,2.2293592069640384,1.0206407930359616
112,2020-05-31,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,1.6802661424995982,0.7265101471939651,2.309249105106915,2.23299718191302,1.0170028180869803
113,2020-06-30,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,1.8304181035001221,0.7565812089901485,2.5198051928435015,2.23299718191302,1.0170028180869803
114,2020-07-31,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,2.0575761868665245,0.8311895162138536,2.8348787403790943,2.23299718191302,1.0170028180869803
115,2020-08-31,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,1.887184933972205,0.7615121222663399,2.5991804727867236,2.23299718191302,1.0170028180869803
116,2020-09-30,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,1.7608946111893655,0.7103242297313325,2.4247344087692566,2.23299718191302,1.0170028180869803
117,2020-10-31,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,2.128766703778729,0.8606163286249762,2.936283233582651,2.23299718191302,1.0170028180869803
118,2020-11-30,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,2.2511768070399114,0.8971154073573505,3.1055642838165887,2.23299718191302,1.0170028180869803
119,2020-12-31,282,0.5522710554584772,0.4168245219470029,0.43268432647931493,2.178865793894762,0.8679981269718495,3.006183982264366,2.23299718191302,1.0170028180869803
