fold,condition,feature,horizon,seed,auc
W4,with_pp_bond_1m,pp_bond,1,777,0.288961038961039
W4,with_pp_bond_1m,pp_bond,1,0,0.3928571428571428
W4,with_pp_bond_1m,pp_bond,1,99,0.3636363636363636
W4,with_pp_stock_1m,pp_stock,1,42,0.40584415584415584
W4,with_pp_stock_1m,pp_stock,1,123,0.3928571428571428
W4,with_pp_stock_1m,pp_stock,1,777,0.3928571428571428
W4,with_pp_stock_1m,pp_stock,1,0,0.4415584415584415
W4,with_pp_stock_1m,pp_stock,1,99,0.3344155844155844
W4,with_fomo_gap_1m,fomo_gap,1,42,0.3993506493506493
W4,with_fomo_gap_1m,fomo_gap,1,123,0.38636363636363635
W4,with_fomo_gap_1m,fomo_gap,1,777,0.39935064935064934
W4,with_fomo_gap_1m,fomo_gap,1,0,0.44805194805194803
W4,with_fomo_gap_1m,fomo_gap,1,99,0.3344155844155844
W4,with_pp_bond_3m,pp_bond,3,42,0.4058441558441558
W4,with_pp_bond_3m,pp_bond,3,123,0.40259740259740256
W4,with_pp_bond_3m,pp_bond,3,777,0.26948051948051943
W4,with_pp_bond_3m,pp_bond,3,0,0.4383116883116883
W4,with_pp_bond_3m,pp_bond,3,99,0.33116883116883117
W4,with_pp_stock_3m,pp_stock,3,42,0.40909090909090906
W4,with_pp_stock_3m,pp_stock,3,123,0.41233766233766234
W4,with_pp_stock_3m,pp_stock,3,777,0.39935064935064934
W4,with_pp_stock_3m,pp_stock,3,0,0.40584415584415584
W4,with_pp_stock_3m,pp_stock,3,99,0.38636363636363635
W4,with_fomo_gap_3m,fomo_gap,3,42,0.41558441558441556
W4,with_fomo_gap_3m,fomo_gap,3,123,0.39935064935064934
W4,with_fomo_gap_3m,fomo_gap,3,777,0.32792207792207795
W4,with_fomo_gap_3m,fomo_gap,3,0,0.4285714285714285
W4,with_fomo_gap_3m,fomo_gap,3,99,0.33766233766233766
W4,with_pp_bond_6m,pp_bond,6,42,0.43506493506493504
W4,with_pp_bond_6m,pp_bond,6,123,0.3701298701298701
W4,with_pp_bond_6m,pp_bond,6,777,0.41233766233766234
W4,with_pp_bond_6m,pp_bond,6,0,0.41233766233766234
W4,with_pp_bond_6m,pp_bond,6,99,0.3409090909090909
W4,with_pp_stock_6m,pp_stock,6,42,0.40584415584415584
W4,with_pp_stock_6m,pp_stock,6,123,0.38961038961038963
W4,with_pp_stock_6m,pp_stock,6,777,0.4188311688311688
W4,with_pp_stock_6m,pp_stock,6,0,0.4448051948051948
W4,with_pp_stock_6m,pp_stock,6,99,0.3603896103896104
W4,with_fomo_gap_6m,fomo_gap,6,42,0.45454545454545453
W4,with_fomo_gap_6m,fomo_gap,6,123,0.39935064935064934
W4,with_fomo_gap_6m,fomo_gap,6,777,0.31493506493506496
W4,with_fomo_gap_6m,fomo_gap,6,0,0.4155844155844156
W4,with_fomo_gap_6m,fomo_gap,6,99,0.36688311688311687
W4,with_pp_bond_12m,pp_bond,12,42,0.41883116883116883
W4,with_pp_bond_12m,pp_bond,12,123,0.37337662337662336
W4,with_pp_bond_12m,pp_bond,12,777,0.25
W4,with_pp_bond_12m,pp_bond,12,0,0.38961038961038963
W4,with_pp_bond_12m,pp_bond,12,99,0.4155844155844156
W4,with_pp_stock_12m,pp_stock,12,42,0.38961038961038963
W4,with_pp_stock_12m,pp_stock,12,123,0.4155844155844156
W4,with_pp_stock_12m,pp_stock,12,777,0.38961038961038963
W4,with_pp_stock_12m,pp_stock,12,0,0.4512987012987013
W4,with_pp_stock_12m,pp_stock,12,99,0.3474025974025974
W4,with_fomo_gap_12m,fomo_gap,12,42,0.40909090909090906
W4,with_fomo_gap_12m,fomo_gap,12,123,0.40584415584415584
W4,with_fomo_gap_12m,fomo_gap,12,777,0.40259740259740256
W4,with_fomo_gap_12m,fomo_gap,12,0,0.4512987012987013
W4,with_fomo_gap_12m,fomo_gap,12,99,0.35389610389610393
W5,baseline,(none),0,42,0.5763546798029556
W5,baseline,(none),0,123,0.3990147783251231
W5,baseline,(none),0,777,0.39655172413793105
W5,baseline,(none),0,0,0.332512315270936
W5,baseline,(none),0,99,0.5344827586206896
W5,with_pp_bond_1m,pp_bond,1,42,0.5763546798029556
W5,with_pp_bond_1m,pp_bond,1,123,0.332512315270936
W5,with_pp_bond_1m,pp_bond,1,777,0.31773399014778325
