epoch,train_step,val_step,nll_window,nll_step_channel,z_mean,z_std,ks_stat,ks_p,logdet_mean,logdet_std,elapsed_s
51,-3.007433326603156,-3.0147692307692306,-313.536,-3.0147692307692306,0.1305065006017685,1.0439807176589966,0.12460962722956598,2.1177416517650384e-176,-937.91650390625,10.948142051696777,174.6641583442688
52,-2.902730332403153,-2.9622189002403845,-308.070765625,-2.9622189002403845,0.06984325498342514,0.8973860144615173,0.13388262706457166,1.1313271942709345e-203,-900.763916015625,14.592686653137207,178.2378487586975
53,-3.0236784577898477,-2.7550375600961536,-286.52390625,-2.7550375600961536,0.2297692447900772,1.1125344038009644,0.1414285475872264,2.4709324677349514e-227,-907.1466674804688,17.14669418334961,181.5554337501526
54,-3.091250077787963,-2.7633260216346156,-287.38590625,-2.7633260216346156,0.3122439682483673,1.1681264638900757,0.1604990903484087,4.9917403607705084e-293,-926.3504638671875,15.858081817626953,184.90758395195007
55,-3.130987735043792,-2.925569110576923,-304.2591875,-2.925569110576923,0.08902806788682938,1.032673954963684,0.1209731872287566,3.014147473583931e-166,-920.4161987304688,19.338918685913086,188.21066570281982
56,-3.0196687755524874,-2.7796060697115386,-289.07903125,-2.7796060697115386,0.1921829730272293,1.1373159885406494,0.14969347615180562,9.152105380274808e-255,-916.2931518554688,18.114282608032227,191.53152632713318
57,-3.0211098867100863,-2.8771156850961535,-299.22003125,-2.8771156850961535,0.1884937882423401,1.0702050924301147,0.14520449145167819,1.1413850114683438e-239,-921.3434448242188,15.259903907775879,194.85640001296997
58,-3.1014965948418314,-2.990541165865385,-311.01628125,-2.990541165865385,0.17360831797122955,1.0095632076263428,0.17067958411087503,0.0,-930.4302978515625,15.02785587310791,198.14647793769836
59,-3.1556554008301467,-2.868948016826923,-298.37059375,-2.868948016826923,0.18561439216136932,1.1317487955093384,0.1389783051615529,1.661179964803592e-219,-931.9263305664062,15.164335250854492,201.53107285499573
60,-3.1948036161656117,-2.701635066105769,-280.970046875,-2.701635066105769,0.2910793423652649,1.281556487083435,0.1530619232169993,2.117523970026929e-266,-939.86376953125,15.478889465332031,205.04858922958374
61,-3.2049172861705313,-2.7795216346153846,-289.07025,-2.7795216346153846,0.20403534173965454,1.2455047369003296,0.13036384317173616,4.328615305393257e-193,-942.3667602539062,17.236278533935547,208.45234417915344
62,-3.2769430132251687,-2.577977764423077,-268.1096875,-2.577977764423077,0.301167756319046,1.3906923532485962,0.13467279646449343,4.342862288446691e-206,-945.1541748046875,16.702587127685547,211.98152709007263
63,-3.2902377189579277,-2.6758870192307693,-278.29225,-2.6758870192307693,0.2464696168899536,1.3438409566879272,0.1338153694402215,1.8136359524103225e-203,-948.6118774414062,15.59028434753418,215.43692708015442
64,-3.3096082952132697,-2.5508190354567306,-265.2851796875,-2.5508190354567306,0.2949036657810211,1.4252771139144897,0.13626150106044477,5.455550772558454e-211,-949.75048828125,18.441171646118164,218.82092905044556
65,-3.3244318348703916,-2.5314934645432694,-263.2753203125,-2.5314934645432694,0.266886442899704,1.455958366394043,0.12425791737364394,2.0950548964846917e-175,-953.19189453125,18.538646697998047,222.17904019355774
66,-3.3388329423068472,-2.4226105018028847,-251.9514921875,-2.4226105018028847,0.33538779616355896,1.522060751914978,0.14072221764534804,4.6088193542102e-225,-955.364501953125,19.224910736083984,225.50353264808655
67,-3.3464691020136437,-2.4957254356971155,-259.5554453125,-2.4957254356971155,0.3143574893474579,1.479655385017395,0.14829260049802884,5.282112540144739e-250,-954.5375366210938,17.16806411743164,228.87418937683105
68,-3.1768953512592724,-2.6366965895432695,-274.2164453125,-2.6366965895432695,0.21996241807937622,1.3955473899841309,0.1245736479681196,2.6780802002209777e-176,-953.8477783203125,16.83344268798828,232.15088558197021
69,-3.2686127511296554,-2.4734336688701926,-257.2371015625,-2.4734336688701926,0.2981851100921631,1.4915090799331665,0.13486782273914755,1.0946930517200903e-206,-953.45751953125,18.119813919067383,235.42150688171387
70,-3.3579354109243567,-2.2251442307692306,-231.415,-2.2251442307692306,0.38777756690979004,1.6412498950958252,0.1429784472550812,2.3422279451760783e-232,-957.4166259765625,19.80107307434082,238.74484825134277
71,-3.378250391158554,-2.311810621995192,-240.4283046875,-2.311810621995192,0.3512028157711029,1.6093308925628662,0.13990615565083298,1.873612160032966e-222,-960.9865112304688,17.81378746032715,242.02521419525146
