fold,date,p_up,w
W1,2013-11-30,0.0273537232197493,1.9995107429248642
W1,2013-12-31,0.023538718647674282,1.9987817523713995
W1,2014-01-31,0.03837512959481393,1.9965086450804015
W1,2014-02-28,0.017732162666561878,1.9981835675820419
W1,2014-03-31,0.02945753708040739,1.9967451706020953
W1,2014-04-30,0.023764955700258807,1.9936943198591857
W1,2014-05-31,0.026122845691684205,1.998909420540851
W1,2014-06-30,0.025411378653062228,1.9966221217401325
W1,2014-07-31,0.03703309696540867,1.9988000489818734
W1,2014-08-31,0.023884059364942173,1.997885174100621
W1,2014-09-30,0.038180210342227565,1.994757672533566
W1,2014-10-31,0.019701027971559343,1.9837289696792197
W1,2014-11-30,0.01777198948535131,1.9972930329712502
W1,2014-12-31,0.02199185630372389,1.9744214165275116
W1,2015-01-31,0.03673392610916818,1.960956571179708
W1,2015-02-28,0.032954544598658306,1.9824379638704976
W1,2015-03-31,0.02206839513779993,1.9843175243222415
W1,2015-04-30,0.015835950651841513,1.9778701919823896
W1,2015-05-31,0.01859292120439275,1.9941614881967977
W1,2015-06-30,0.021552657215022347,1.9790160100160152
W2,2015-08-31,0.0891661619493333,1.4515849796351405
W2,2015-09-30,0.08787619279788524,1.0226269761269107
W2,2015-10-31,0.08232755177361196,1.6212969572193854
W2,2015-11-30,0.08662546439288701,1.7542155350265682
W2,2015-12-31,0.08417314985126517,1.8186202715282618
W2,2016-01-31,0.08910542476776484,1.047161948132241
W2,2016-02-29,0.0760568594956837,1.149468675093066
W2,2016-03-31,0.07653245808702296,1.793362486029809
W2,2016-04-30,0.09045394754799978,1.8225086061755884
W2,2016-05-31,0.07932280995456545,1.9690599116801675
W2,2016-06-30,0.06354957883214364,1.9313088738527187
W2,2016-07-31,0.06625524305820092,1.9989563863335023
W2,2016-08-31,0.055941538875174446,1.99832884166397
W2,2016-09-30,0.05177764939841922,1.9849169966884097
W2,2016-10-31,0.06251116291450448,1.9754424220485651
W2,2016-11-30,0.05147110885728993,1.9641523036603514
