window,train_end,alpha,beta,lambda,final_fitness,ann_ret,mdd,final_pp,min_pp,died_step,mean_ws,mean_wb,pct_stock_lev,pct_stock_1x,pct_bond,pct_mix
15,2009-04,2.4679893906276513,2.5946466636417034,1.0513200232930664,2360.9862118119995,21.585223239515393,-16.409335081304757,1.1729492635025585,0.994540552869057,-1,1.75,0.0,0.75,0.25,0.0,0.0
16,2010-04,1.8845414222424488,2.234201623962309,1.1855412662162625,2242.603964181332,32.7084920786553,-4.744918363260472,1.251790229485832,0.9988380036079374,-1,1.0833333333333333,0.08333333333333333,0.16666666666666666,0.75,0.08333333333333333,0.0
17,2011-04,1.396631070681267,2.6041176376748165,1.8645708894364965,1430.9420956478061,0.046676209458951234,0.0,0.8999963749745702,0.8999963749745702,5,0.0,1.0,0.0,0.0,1.0,0.0
18,2012-04,1.4297226727407948,2.7473157511193533,1.9215724863988606,1100.9430608348562,0.08670099432290801,0.0,0.9203523623426708,0.9203523623426708,7,0.0,1.0,0.0,0.0,1.0,0.0
19,2013-04,1.4137052582962013,2.626475756551407,1.8578665822583398,1210.9460926450993,0.04167454950612104,0.0,0.9344122877547243,0.9344122877547243,10,0.0,1.0,0.0,0.0,1.0,0.0
20,2014-04,2.2691298030164186,1.6324533294890118,0.7194182224916994,1401.0826637316852,11.688423968433392,-8.326457631119546,1.0475702666246118,0.9814911934690168,-1,2.0,0.0,1.0,0.0,0.0,0.0
21,2015-04,1.311726134575187,2.7672211772107373,2.1096028387868664,800.9426503842113,0.14675898394616027,-0.0016666666666594453,0.922755361893083,0.922755361893083,8,0.0,1.0,0.0,0.0,1.0,0.0
22,2016-04,2.3272934248329853,2.6032214367568876,1.1185617631965354,2571.315463400217,26.17048453298425,-2.1830232416562785,1.1732041627661332,0.9935813186544903,-1,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
23,2017-04,2.253849647640047,2.6460405389463957,1.1740093407370817,3601.4482378720236,17.74266606197459,-10.386903842308893,1.1049859544512217,1.0,-1,1.4166666666666667,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0
24,2018-04,1.8750147022904706,2.290660160563151,1.2216758395360519,2801.2335692234806,-9.33241800797675,-20.610359063443358,0.8537716298804517,0.8537716298804517,12,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
25,2019-04,1.7230345606701816,2.048396793368338,1.1888309382323738,2111.165006758215,-14.185238588870675,-27.6950322365117,0.7072336545840581,0.7072336545840581,9,1.0833333333333333,0.16666666666666666,0.25,0.5833333333333334,0.16666666666666666,0.0
26,2020-04,1.66378886324116,1.7449821419955125,1.0488002297335872,2231.09652198555,37.28722610793207,-9.474918609268963,1.203026136650525,0.9888803727109321,-1,1.25,0.0,0.25,0.75,0.0,0.0
27,2021-04,1.655648010654441,2.49063917296727,1.5043289134764677,3085.992551412908,0.19598186357256964,0.0,0.9321308375471903,0.9321308375471903,7,0.0,1.0,0.0,0.0,1.0,0.0
28,2022-04,1.5242324998353691,2.2732979801569484,1.4914378091285188,2030.938493863824,3.6679389586585565,0.0,1.0,1.0,-1,0.0,1.0,0.0,0.0,1.0,0.0
29,2023-04,2.9633804136549937,1.1026440945506097,0.37208995830225633,1000.9570804084993,46.56911346281738,-17.937780872096013,1.3779561745482398,0.9555790496799702,-1,2.0,0.0,1.0,0.0,0.0,0.0
