feature,fold,a0,a_f,b0,b_f,f_mean_train,f_std_train,train_sh,test_sh,baseline_test_sh,delta_test_sh,test_ann_ret,mean_ws
ndx_3m,W3,1.3220495028793264,0.46067101204910926,2.122674545782592,-0.37836959916588336,0.023487447637423213,0.11304261309834646,0.6480984603741003,0.14730291292816622,-0.12827138301802968,0.27557429594619587,4.597668719391068,0.3055555555555556
sentiment,W1,1.205095666938179,-0.3721569766954395,2.799138235437614,-0.3173058907970331,0.06660152752556618,0.18930996745496628,0.5501014989360884,0.0,0.0,0.0,0.05464249393598575,0.0
sentiment,W2,1.8037340027942461,-0.1361013884962833,2.2415104427593273,-0.5662527332136089,0.04030670146267126,0.19150491277172133,0.5989918881336062,0.23718345890093898,0.15046437868006127,0.08671908022087771,3.3259076717385483,0.5722222222222222
sentiment,W3,1.8479707006132267,0.4416363733762055,1.9960344716196967,-0.8022787884755843,-0.005613662392959287,0.19907399510269375,0.7488299368360114,0.30402739741632184,-0.12827138301802968,0.43229878043435155,6.102329143070095,0.48518518518518516
yield_curve,W1,1.4920534161301409,-0.8074777647859803,2.390976455266913,1.2332185338267443,0.01132249999999999,0.009273069992366779,0.37031709785683165,0.0,0.0,0.0,0.05464249393598575,0.0
yield_curve,W2,1.3490118305120922,0.23089565832389872,2.529761203063407,-0.569826340315892,0.012504166666666656,0.009495283002920735,0.5380616610056528,0.35725516396983675,0.15046437868006127,0.20679078528977549,1.2920775985850508,0.006481481481481482
yield_curve,W3,1.8145589041002774,-0.0357282630415298,2.2919471333152823,-0.2626192993953369,0.013454166666666656,0.00860124405569075,0.7359121604183616,0.1992951486762325,-0.12827138301802968,0.3275665316942622,4.628688769870193,0.10833333333333332
credit_spread,W1,1.737608183230248,-0.6734456438610453,1.166644463625743,0.6416520266270802,0.00948749999999996,0.004434101985370517,0.42161502220247576,0.7185384395906781,0.0,0.7185384395906781,7.939599729884361,0.7407407407407407
credit_spread,W2,2.258259591565717,-0.8925994948561145,2.0615834363036796,0.5985596164961218,0.010040833333333289,0.004412293353675497,0.39137953867762365,0.5028893289501023,0.15046437868006127,0.35242495027004106,7.9520071226739875,0.9083333333333333
credit_spread,W3,2.182689256884395,-0.8922320856692829,1.644233072348593,0.2627603997125558,0.010634166666666629,0.004230198888809952,0.6120736199131352,0.5056149589880525,-0.12827138301802968,0.6338863420060822,10.68017142994966,1.0
