month,date,n_alive,mean_lam,median_lam,mean_pp
61,2016-02-29,300,2.441092355023845,1.2532288720684903,1.35427576934811
62,2016-03-31,300,2.441092355023845,1.2532288720684903,1.3440637007527951
63,2016-04-30,300,2.441092355023845,1.2532288720684903,1.3539706587066875
64,2016-05-31,300,2.441092355023845,1.2532288720684903,1.3555390053228569
65,2016-06-30,300,2.441092355023845,1.2532288720684903,1.4155252218082064
66,2016-07-31,300,2.441092355023845,1.2532288720684903,1.4100632602202705
67,2016-08-31,300,2.441092355023845,1.2532288720684903,1.396167350846069
68,2016-09-30,300,2.441092355023845,1.2532288720684903,1.3474999069153395
69,2016-10-31,300,2.441092355023845,1.2532288720684903,1.4033034401336106
70,2016-11-30,300,2.441092355023845,1.2532288720684903,1.4307162079428464
71,2016-12-31,300,2.441092355023845,1.2532288720684903,1.4583287474957578
72,2017-01-31,300,2.441092355023845,1.2532288720684903,1.5321618765545424
73,2017-02-28,300,2.441092355023845,1.2532288720684903,1.5311669417203884
74,2017-03-31,300,2.441092355023845,1.2532288720684903,1.526903727490518
