fold,feature,horizon,baseline_mean,with_mean,dAUC,t_stat,p_value
W3,fomo_gap,12,0.4790178571428571,0.46473214285714287,-0.014285714285714235,-0.24370388642553514,0.8194489352338977
W4,pp_bond,1,0.3766233766233766,0.37337662337662336,-0.00324675324675322,-0.27017161347915086,0.8003947187434641
W4,pp_stock,1,0.3766233766233766,0.39350649350649347,0.01688311688311689,0.7285743429626097,0.5066259198296936
W4,fomo_gap,1,0.3766233766233766,0.39350649350649347,0.01688311688311689,0.6903330690404345,0.5279516581829581
W4,pp_bond,3,0.3766233766233766,0.3694805194805194,-0.007142857142857173,-0.3737952163168226,0.7275256623971207
W4,pp_stock,3,0.3766233766233766,0.4025974025974026,0.025974025974026038,1.294369603381147,0.26520695632950164
W4,fomo_gap,3,0.3766233766233766,0.3818181818181817,0.005194805194805141,0.33175320520825385,0.7567301187959885
W4,pp_bond,6,0.3766233766233766,0.3941558441558441,0.01753246753246751,0.7062595840542077,0.5189920064731637
W4,pp_stock,6,0.3766233766233766,0.40389610389610386,0.027272727272727282,1.148853915807107,0.3146428580335038
W4,fomo_gap,6,0.3766233766233766,0.3902597402597403,0.013636363636363724,1.0794097902911979,0.3411465303909766
W4,pp_bond,12,0.3766233766233766,0.36948051948051946,-0.0071428571428571175,-0.46033567285055466,0.669188001800457
W4,pp_stock,12,0.3766233766233766,0.39870129870129867,0.022077922077922085,0.9354649246678772,0.40250866201246127
W4,fomo_gap,12,0.3766233766233766,0.4045454545454545,0.027922077922077904,1.2549730716482257,0.27780866799749987
W5,pp_bond,1,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,pp_stock,1,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,fomo_gap,1,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,pp_bond,3,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,pp_stock,3,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,fomo_gap,3,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,pp_bond,6,0.44778325123152707,0.47586206896551725,0.02807881773399018,0.7573789549201463,0.49098862108086594
W5,pp_stock,6,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,fomo_gap,6,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,pp_bond,12,0.44778325123152707,0.7310344827586206,0.2832512315270935,3.2546445663857373,0.03123834841225516
W5,pp_stock,12,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
W5,fomo_gap,12,0.44778325123152707,0.4487684729064039,0.0009852216748768572,0.02498731434958118,0.9812619515299893
