date,m2_level,gdp_real,cpi_level,m2_yoy,gdp_yoy,cpi_yoy,nominal_gdp_yoy,excess_liq_yoy,k,k_normalized,excess_share_pct,cumulative_excess_pct
1989-06-30,3008.3,9846.293,124.1,3.0204445053251705,3.7479108262349126,5.1694915254237195,8.917402351658632,-5.8969578463334615,0.002461935139453641,0.9988856456643902,-0.11155975065280099,
1989-09-30,3068.1,9919.228,124.8,4.699017199017197,3.9075419072247097,4.435146443514637,8.342688350739348,-3.64367115172215,0.0024784322545448713,1.0055790516747372,0.5548098546251046,
1989-12-31,3161.4,9938.767,126.3,5.67236019654378,2.743211930028755,4.639602319801162,7.3828142498299165,-1.7104540532861368,0.0025185094750543487,1.02183965888713,2.137288242552182,
1990-03-31,3184.6,10047.386,128.6,6.458514407969496,2.821006526483294,5.237315875613735,8.05832240209703,-1.5998079941275334,0.0024646816681564493,1.0,0.0,-0.39995199853188335
1990-06-30,3194.2,10083.855,129.9,6.179569856729694,2.412704964193124,4.673650282030639,7.086355246223763,-0.9067853894940692,0.002438520225905103,0.9893854680751065,-1.0728408964348901,-0.6266483459054006
1990-09-30,3230.4,10090.569,132.5,5.28991884228025,1.7273622503686914,6.169871794871806,7.897234045240498,-2.6073152029602475,0.0024161548628715158,0.9803111266205705,-2.0084310832320096,-1.2784771466454625
1990-12-31,3291.6,9998.704,134.2,4.118428544315811,0.6030627340393391,6.254948535233562,6.858011269272901,-2.7395827249570903,0.002453074997506264,0.9952908033519531,-0.47314781088976243,-1.963372827884735
1991-03-31,3320.0,9951.916,134.8,4.2517113609244594,-0.9501973946258402,4.821150855365497,3.8709534607396567,0.38075790018480227,0.0024748078780703494,1.0041085264862923,0.4091715564521148,-1.8681833528385345
1991-06-30,3330.5,10029.51,136.0,4.267109135307745,-0.5389307958117096,4.695919938414161,4.156989142602452,0.11011999270529316,0.0024416916268327456,0.9906722066298729,-0.9415620331026497,-1.8406533546622112
1991-09-30,3325.4,10080.195,137.0,2.940812283308558,-0.10280887034219699,3.396226415094339,3.293417544752142,-0.35260526144358373,0.002407988407042714,0.9769977349017486,-2.3543826435344473,-1.9288046700231072
1991-12-31,3376.0,10115.329,138.2,2.564102564102577,1.1664011655910578,2.980625931445613,4.147027097036671,-1.5829245329340935,0.00241498469193209,0.979836350930653,-2.057858850633121,-2.3245358032566306
1992-03-31,3393.0,10236.435,139.1,2.198795180722901,2.858936912248855,3.189910979228472,6.048847891477327,-3.850052710754426,0.0023829119575795657,0.966823419172811,-3.4315036406104005,-3.287048980945237
1992-06-30,3361.7,10347.429,140.1,0.9367962768352944,3.169835814511379,3.0147058823529305,6.18454169686431,-5.247745420029015,0.0023189338693582117,0.9408654672604211,-6.285120965462232,-4.598985335952491
1992-09-30,3376.3,10449.673,141.1,1.53064293017382,3.6653854414522735,2.9927007299270114,6.658086171379285,-5.127443241205465,0.0022898725692751653,0.9290743704796413,-7.634009910718231,-5.880846146253857
1992-12-31,3430.5,10558.648,142.3,1.6143364928909998,4.382645388993267,2.966714905933454,7.349360294926721,-5.735023802035721,0.0022832013459837793,0.9263676423136563,-7.948502767480381,-7.314602096762787
1993-03-31,3396.3,10576.275,143.3,0.09725906277631147,3.3199058070509935,3.0194104960460155,6.339316303097009,-6.2420572403206975,0.0022409239598096295,0.9092143576845007,-9.985064748284822,-8.875116406842961
1993-06-30,3408.4,10637.847,144.3,1.389178094416521,2.806668207145946,2.9978586723768963,5.804526879522842,-4.415348785106321,0.0022203962531361487,0.9008856120543052,-11.001883770757814,-9.978953603119542
1993-09-30,3412.4,10688.606,145.0,1.0692177827799743,2.2865117406066116,2.7639971651311157,5.050508905737727,-3.981291122957753,0.002201764486729914,0.8933261098893984,-11.941203657845477,-10.974276383858982
1993-12-31,3485.9,10833.987,146.3,1.614924938055684,2.6077107599381977,2.8109627547435068,5.418673514681704,-3.8037485766260204,0.0021992889292901064,0.8923216972417971,-12.06720660172682,-11.925213528015487
1994-03-31,3458.9,10939.116,147.1,1.8431822866060044,3.430706936043171,2.6517794836008246,6.082486419643995,-4.239304133037991,0.0021495279964023227,0.8721320989132615,-14.661529055755551,-12.985039561274984
1994-06-30,3450.5,11087.361,147.9,1.2351836638892166,4.225610689832271,2.494802494802495,6.720413184634766,-5.485229520745549,0.0021041934749597728,0.853738436953476,-17.131893881743366,-14.356346941461371
1994-09-30,3448.5,11152.176,149.3,1.0579064587973308,4.337048254936149,2.965517241379323,7.302565496315472,-6.244659037518141,0.0020711464457875833,0.8403302026978497,-19.000840001886885,-15.917511700840906
1994-12-31,3498.4,11279.932,150.1,0.35858745230787914,4.116167021429895,2.597402597402576,6.713569618832471,-6.354982166524592,0.002066247259375858,0.8383424464390912,-19.282997568303827,-17.506257242472053
1995-03-31,3479.8,11319.951,151.2,0.6042383416693164,3.481405627292,2.7872195785180187,6.268625205810019,-5.6643868641407025,0.0020330962797056517,0.8248920361493913,-21.227985745627432,-18.92235395850723
1995-06-30,3521.7,11353.721,152.4,2.0634690624547147,2.4023751008017014,3.0425963488843744,5.444971449686076,-3.381502387231361,0.0020353034671660004,0.8257875625327232,-21.09651990070671,-19.76772955531507
1995-09-30,3569.6,11450.31,153.1,3.5116717413368193,2.6733258155179795,2.54521098459477,5.21853680011275,-1.7068650587759304,0.0020362313403200563,0.8261640302794687,-21.04133844482763,-20.194445820009054
1995-12-31,3648.7,11528.067,153.9,4.2962497141550315,2.1997916299495213,2.5316455696202667,4.731437199569788,-0.4351874854147564,0.0020565678627441084,0.8344152063590408,-19.8444122756926,-20.303242691362744
1996-03-31,3679.7,11614.418,155.5,5.74458302201275,2.6013098466592277,2.8439153439153486,5.445225190574576,0.29935783143817396,0.002037438776084631,0.826653925498058,-20.96960640421579,-20.2284032335032
1996-06-30,3696.4,11808.14,156.7,4.960672402532884,4.002379484223728,2.8215223097112663,6.823901793934994,-1.8632293914021103,0.0019976917289257624,0.8105272801497366,-23.376476583892437,-20.69421058135373
