fold,condition,feature,horizon,seed,auc
W4,with_fomo_gap_1m,fomo_gap,1,99,0.8258928571428572
W4,with_pp_bond_3m,pp_bond,3,42,0.8660714285714286
W4,with_pp_bond_3m,pp_bond,3,123,0.8392857142857143
W4,with_pp_bond_3m,pp_bond,3,777,0.7991071428571428
W4,with_pp_bond_3m,pp_bond,3,0,0.7901785714285714
W4,with_pp_bond_3m,pp_bond,3,99,0.8303571428571428
W4,with_pp_stock_3m,pp_stock,3,42,0.84375
W4,with_pp_stock_3m,pp_stock,3,123,0.84375
W4,with_pp_stock_3m,pp_stock,3,777,0.7991071428571428
W4,with_pp_stock_3m,pp_stock,3,0,0.8303571428571428
W4,with_pp_stock_3m,pp_stock,3,99,0.8348214285714286
W4,with_fomo_gap_3m,fomo_gap,3,42,0.8571428571428571
W4,with_fomo_gap_3m,fomo_gap,3,123,0.8392857142857142
W4,with_fomo_gap_3m,fomo_gap,3,777,0.8035714285714286
W4,with_fomo_gap_3m,fomo_gap,3,0,0.8169642857142857
W4,with_fomo_gap_3m,fomo_gap,3,99,0.8392857142857143
W4,with_pp_bond_6m,pp_bond,6,42,0.7544642857142857
W4,with_pp_bond_6m,pp_bond,6,123,0.8214285714285714
W4,with_pp_bond_6m,pp_bond,6,777,0.8214285714285714
W4,with_pp_bond_6m,pp_bond,6,0,0.8392857142857143
W4,with_pp_bond_6m,pp_bond,6,99,0.8125
W4,with_pp_stock_6m,pp_stock,6,42,0.875
W4,with_pp_stock_6m,pp_stock,6,123,0.84375
W4,with_pp_stock_6m,pp_stock,6,777,0.7991071428571428
W4,with_pp_stock_6m,pp_stock,6,0,0.8035714285714286
W4,with_pp_stock_6m,pp_stock,6,99,0.8392857142857142
W4,with_fomo_gap_6m,fomo_gap,6,42,0.875
W4,with_fomo_gap_6m,fomo_gap,6,123,0.8482142857142858
W4,with_fomo_gap_6m,fomo_gap,6,777,0.7946428571428572
W4,with_fomo_gap_6m,fomo_gap,6,0,0.8214285714285714
W4,with_fomo_gap_6m,fomo_gap,6,99,0.8571428571428571
W4,with_pp_bond_12m,pp_bond,12,42,0.8705357142857142
W4,with_pp_bond_12m,pp_bond,12,123,0.84375
W4,with_pp_bond_12m,pp_bond,12,777,0.8214285714285714
W4,with_pp_bond_12m,pp_bond,12,0,0.8258928571428572
W4,with_pp_bond_12m,pp_bond,12,99,0.84375
W4,with_pp_stock_12m,pp_stock,12,42,0.8705357142857143
W4,with_pp_stock_12m,pp_stock,12,123,0.8616071428571428
W4,with_pp_stock_12m,pp_stock,12,777,0.8125
W4,with_pp_stock_12m,pp_stock,12,0,0.8125
W4,with_pp_stock_12m,pp_stock,12,99,0.8571428571428572
W4,with_fomo_gap_12m,fomo_gap,12,42,0.84375
W4,with_fomo_gap_12m,fomo_gap,12,123,0.8482142857142857
W4,with_fomo_gap_12m,fomo_gap,12,777,0.8035714285714286
W4,with_fomo_gap_12m,fomo_gap,12,0,0.7991071428571429
W4,with_fomo_gap_12m,fomo_gap,12,99,0.8616071428571428
W5,baseline,(none),0,42,0.6502463054187192
W5,baseline,(none),0,123,0.7044334975369458
W5,baseline,(none),0,777,0.6896551724137931
W5,baseline,(none),0,0,0.729064039408867
W5,baseline,(none),0,99,0.729064039408867
W5,with_pp_bond_1m,pp_bond,1,42,0.7192118226600985
W5,with_pp_bond_1m,pp_bond,1,123,0.7487684729064039
W5,with_pp_bond_1m,pp_bond,1,777,0.7241379310344827
W5,with_pp_bond_1m,pp_bond,1,0,0.6650246305418719
W5,with_pp_bond_1m,pp_bond,1,99,0.7192118226600985
W5,with_pp_stock_1m,pp_stock,1,42,0.6551724137931034
W5,with_pp_stock_1m,pp_stock,1,123,0.7241379310344828
W5,with_pp_stock_1m,pp_stock,1,777,0.7093596059113301
W5,with_pp_stock_1m,pp_stock,1,0,0.645320197044335
W5,with_pp_stock_1m,pp_stock,1,99,0.7192118226600985
W5,with_fomo_gap_1m,fomo_gap,1,42,0.6551724137931034
W5,with_fomo_gap_1m,fomo_gap,1,123,0.7586206896551724
W5,with_fomo_gap_1m,fomo_gap,1,777,0.7192118226600985
W5,with_fomo_gap_1m,fomo_gap,1,0,0.6502463054187192
W5,with_fomo_gap_1m,fomo_gap,1,99,0.7093596059113301
W5,with_pp_bond_3m,pp_bond,3,42,0.6945812807881773
W5,with_pp_bond_3m,pp_bond,3,123,0.7438423645320197
W5,with_pp_bond_3m,pp_bond,3,777,0.7142857142857143
W5,with_pp_bond_3m,pp_bond,3,0,0.6773399014778325
W5,with_pp_bond_3m,pp_bond,3,99,0.7487684729064039
W5,with_pp_stock_3m,pp_stock,3,42,0.6600985221674877
W5,with_pp_stock_3m,pp_stock,3,123,0.7487684729064039
W5,with_pp_stock_3m,pp_stock,3,777,0.7093596059113301
W5,with_pp_stock_3m,pp_stock,3,0,0.6551724137931034
W5,with_pp_stock_3m,pp_stock,3,99,0.7142857142857142
W5,with_fomo_gap_3m,fomo_gap,3,42,0.6748768472906405
W5,with_fomo_gap_3m,fomo_gap,3,123,0.729064039408867
W5,with_fomo_gap_3m,fomo_gap,3,777,0.7487684729064039
W5,with_fomo_gap_3m,fomo_gap,3,0,0.6650246305418719
W5,with_fomo_gap_3m,fomo_gap,3,99,0.7142857142857142
W5,with_pp_bond_6m,pp_bond,6,42,0.6945812807881773
W5,with_pp_bond_6m,pp_bond,6,123,0.7783251231527093
W5,with_pp_bond_6m,pp_bond,6,777,0.7389162561576355
W5,with_pp_bond_6m,pp_bond,6,0,0.729064039408867
W5,with_pp_bond_6m,pp_bond,6,99,0.7389162561576355
W5,with_pp_stock_6m,pp_stock,6,42,0.6600985221674877
W5,with_pp_stock_6m,pp_stock,6,123,0.7241379310344828
W5,with_pp_stock_6m,pp_stock,6,777,0.6945812807881773
W5,with_pp_stock_6m,pp_stock,6,0,0.7389162561576355
W5,with_pp_stock_6m,pp_stock,6,99,0.7142857142857142
W5,with_fomo_gap_6m,fomo_gap,6,42,0.6354679802955665
W5,with_fomo_gap_6m,fomo_gap,6,123,0.7241379310344828
W5,with_fomo_gap_6m,fomo_gap,6,777,0.7389162561576355
W5,with_fomo_gap_6m,fomo_gap,6,0,0.6305418719211822
W5,with_fomo_gap_6m,fomo_gap,6,99,0.7142857142857142
W5,with_pp_bond_12m,pp_bond,12,42,0.7339901477832512
W5,with_pp_bond_12m,pp_bond,12,123,0.7783251231527094
W5,with_pp_bond_12m,pp_bond,12,777,0.7389162561576355
W5,with_pp_bond_12m,pp_bond,12,0,0.6847290640394089
W5,with_pp_bond_12m,pp_bond,12,99,0.6995073891625616
W5,with_pp_stock_12m,pp_stock,12,42,0.6650246305418719
W5,with_pp_stock_12m,pp_stock,12,123,0.7438423645320196
W5,with_pp_stock_12m,pp_stock,12,777,0.7044334975369457
W5,with_pp_stock_12m,pp_stock,12,0,0.6551724137931034
W5,with_pp_stock_12m,pp_stock,12,99,0.7192118226600985
W5,with_fomo_gap_12m,fomo_gap,12,42,0.6748768472906403
W5,with_fomo_gap_12m,fomo_gap,12,123,0.7192118226600985
W5,with_fomo_gap_12m,fomo_gap,12,777,0.7093596059113301
W5,with_fomo_gap_12m,fomo_gap,12,0,0.625615763546798
W5,with_fomo_gap_12m,fomo_gap,12,99,0.7438423645320196
