fold,lambda_reg,train_sh_plain,a0,b0,a_metabolism,a_ndx_52wh_ratio,a_ndx_in_range,a_ndx_return,b_metabolism,b_ndx_52wh_ratio,b_ndx_in_range,b_ndx_return,ann_ret,vol,sharpe_ex,sortino,calmar,mdd,mean_total,slope_l2,final_pp
W2,0.05,0.5776021642308787,2.305477151693343,1.5887206291759361,0.0005776720054301325,0.19419138408044162,0.13997845406568526,0.36092197859743425,0.021062422161181624,-0.24753952426410974,-0.04245910121718053,-0.4045191821340868,15.345773132068041,28.46742218287517,0.6105873811883175,0.505800346459721,0.4028869383217342,-38.0895275384017,1.9830508474576272,0.41472725528412824,2.017630408462049
W2,0.1,0.5776021642308787,2.1351341580164798,1.569228360361346,0.06873561063035212,0.13608608360925126,0.21349742131352425,0.2556225889353363,0.07857049273931282,-0.21473398950903458,0.0514859865600016,-0.3730505606167829,15.345773132068041,28.46742218287517,0.6105873811883175,0.505800346459721,0.4028869383217342,-38.0895275384017,1.9830508474576272,0.3282695993706771,2.017630408462049
W2,0.3,0.5928875872530419,2.2666670947017264,1.9580303259658514,0.04030452555380858,0.08984659634704618,0.17666963694096327,0.2397317337159835,0.013963549296911393,-0.08890220411384715,-0.07502977766352975,-0.11756678442165011,15.345773132068041,28.46742218287517,0.6105873811883175,0.505800346459721,0.4028869383217342,-38.0895275384017,1.9830508474576272,0.12593032936334253,2.017630408462049
W2,1.0,0.5869664740212341,2.3209735584485487,2.26305501616065,0.010649598762807055,0.08503327434418306,0.08628030751689594,0.1832653702153822,0.01325157227596849,-0.051586348806202886,-0.0301958759879793,-0.0733414198595581,10.164799542354164,26.330643547712786,0.4647982227532626,0.3652047032318775,0.26686599176390563,-38.0895275384017,1.9661016949152543,0.05750206942953097,1.6095729765749724
W3,0.0,0.779216079376224,2.5716119147333476,1.7062246080196375,-0.6082889091123009,0.48364264154735687,-0.35041025983914476,0.5582171903489354,0.23209456693913574,-0.2209405528502124,0.19218952068051667,-1.0101846208901726,10.509182034949038,28.68114208932869,0.3940415885714245,0.4146045169164228,0.18570609004191693,-56.59040063024827,1.8305084745762712,2.198411779512386,1.6344637442420793
W3,0.005,0.8833732883800118,2.57747261125099,1.8854287845897908,-0.07971136083201025,0.47382435781591087,-0.24800013007217386,0.45644338488310976,0.32146880147449575,-0.1645567549898615,0.09131129115767274,-0.8177386789263278,16.521240851096564,27.450965072633586,0.5930823814791037,0.6214807034864609,0.3469751735846576,-47.615051764115876,1.8305084745762712,1.3081634660640162,2.1207610855900145
W3,0.02,0.8158508209899964,2.560786880439255,1.900378775874454,-0.03519626562387185,0.3672208672253578,0.08767715922779945,0.3931507352695878,0.18732169524792316,-0.18490071128158167,0.12468852276800192,-0.585507697734308,16.14205599338576,28.473079282701917,0.5696057765880584,0.6178666300667612,0.33618041056373743,-48.01605175720178,1.8983050847457628,0.7259889096920713,2.087044727885134
W3,0.05,0.8656744626868231,2.3466380719466655,1.9495796923126045,-0.0902627833481091,0.21132886986023317,0.009930494065719697,0.3888648314395154,0.061154144759724555,-0.19362252934273474,0.11907220677385764,-0.42027620063774423,19.064714772261592,28.07598057435254,0.6632230398416907,0.6750819840003234,0.4282447140181526,-44.518272259289276,1.8644067796610169,0.43616152167588834,2.358305822758335
W3,0.1,0.8227323168325895,2.2966366736751276,2.0393089049671507,-0.023317753395940236,0.14068482851331673,0.07506375973316191,0.3417715256669645,0.13082579185287332,-0.13010492028781204,0.11795583304943037,-0.2902631597740269,16.14205599338576,28.473079282701917,0.5696057765880584,0.6178666300667612,0.33618041056373743,-48.01605175720178,1.8983050847457628,0.27498724094867427,2.087044727885134
W3,0.3,0.8196575958492336,2.2491773582645678,2.184278211942036,-0.0305039688988894,0.08402393241500704,0.03889264554523486,0.27505028908174095,0.10888035158433895,-0.11905454421786738,0.10826209575214034,-0.17171481749432094,16.32759344175245,27.998958989058565,0.5800446731391207,0.6286214443740605,0.3314706928965671,-49.25803032260035,1.847457627118644,0.15239138812232958,2.103488567917948
