month,date,agent_id,parent_id,alpha,beta,lam
11,2011-12-31,284,175,0.7814962658946915,2.4685037341053087,3.1586890965873735
11,2011-12-31,285,125,0.5084819991376875,2.7415180008623126,5.391573360534952
11,2011-12-31,286,9,0.25,3.0,12.0
11,2011-12-31,287,85,0.5906897455855705,2.6593102544144296,4.502042356902889
11,2011-12-31,288,60,0.7012838036882358,2.548716196311764,3.6343577064055888
11,2011-12-31,289,28,0.25,3.0,12.0
11,2011-12-31,290,69,0.25,3.0,12.0
11,2011-12-31,291,155,0.6276984494294255,2.6223015505705742,4.1776454170855954
11,2011-12-31,292,157,1.0391329450641462,2.2108670549358536,2.1276075072370797
11,2011-12-31,293,35,1.4536271252674053,1.7963728747325947,1.235786566931419
11,2011-12-31,294,177,1.415470434588566,1.834529565411434,1.2960564350781905
11,2011-12-31,295,109,0.4394819324600574,2.8105180675399426,6.3950707866594225
11,2011-12-31,296,119,1.4840246130122756,1.7659753869877244,1.18999063189602
11,2011-12-31,297,188,0.9512309290671142,2.298769070932886,2.416625659120779
11,2011-12-31,298,99,0.25,3.0,12.0
11,2011-12-31,299,98,0.4199821987663725,2.8300178012336277,6.738423222570699
11,2011-12-31,300,-1,2.008798995902053,1.241201004097947,0.6178821308801903
11,2011-12-31,301,-1,0.9827741231273267,2.2672258768726734,2.306965378431047
23,2012-12-31,302,216,1.618892431698494,1.631107568301506,1.007545366426969
47,2014-12-31,303,216,1.203450271351306,2.046549728648694,1.7005685879738972
47,2014-12-31,304,214,2.0901500982808927,1.1598499017191073,0.5549122537530012
59,2015-12-31,305,243,2.3672428206046376,0.8827571793953624,0.37290520926361487
59,2015-12-31,306,224,1.9861044073269751,1.2638955926730249,0.6363691596526164
59,2015-12-31,307,214,2.2508998572761163,0.9991001427238837,0.4438669892373292
59,2015-12-31,308,204,1.889487717781533,1.360512282218467,0.7200429351379212
59,2015-12-31,309,245,1.9470675916661453,1.3029324083338547,0.6691767732721128
59,2015-12-31,310,266,2.4994327772972937,0.7505672227027063,0.30029502274284625
59,2015-12-31,311,223,2.2649882840298896,0.9850117159701104,0.4348860093075483
59,2015-12-31,312,241,2.208928652604296,1.0410713473957038,0.4713014819054002
59,2015-12-31,313,209,1.895673649333833,1.354326350666167,0.7144301188878669
59,2015-12-31,314,248,2.485299983048323,0.7647000169516769,0.30768922148936756
59,2015-12-31,315,300,2.362022562595361,0.887977437404639,0.37593943913429023
59,2015-12-31,316,270,2.063413880559071,1.1865861194409288,0.5750596768882013
59,2015-12-31,317,230,2.9941707318302964,0.25582926816970364,0.08544244503162271
59,2015-12-31,318,256,3.0,0.25,0.08333333333333333
59,2015-12-31,319,250,2.568252762292952,0.6817472377070479,0.26545176850053487
59,2015-12-31,320,257,2.7643792924960433,0.4856207075039567,0.17567079482261452
59,2015-12-31,321,238,3.0,0.25,0.08333333333333333
59,2015-12-31,322,249,2.790772853009917,0.45922714699008305,0.16455196147360948
59,2015-12-31,323,246,2.622343271996759,0.6276567280032408,0.23934956750544611
59,2015-12-31,324,218,1.8099301365720772,1.4400698634279228,0.7956494200131655
59,2015-12-31,325,237,3.0,0.25,0.08333333333333333
59,2015-12-31,326,208,2.357434340918748,0.8925656590812521,0.37861739925846594
59,2015-12-31,327,258,3.0,0.25,0.08333333333333333
59,2015-12-31,328,216,1.9557275027142589,1.2942724972857411,0.6617857014791086
59,2015-12-31,329,262,3.0,0.25,0.08333333333333333
59,2015-12-31,330,239,2.532429049632647,0.7175709503673531,0.28335283488848134
59,2015-12-31,331,261,2.528387923304028,0.7216120766959722,0.28540401970951884
59,2015-12-31,332,260,2.97991404813054,0.27008595186946005,0.09063548394588745
59,2015-12-31,333,228,1.9199398720390022,1.3300601279609978,0.6927613449417329
59,2015-12-31,334,215,2.4923209983021386,0.7576790016978614,0.30400538382255754
59,2015-12-31,335,231,3.0,0.25,0.08333333333333333
59,2015-12-31,336,207,2.744421338319433,0.5055786616805671,0.18422049654742956
59,2015-12-31,337,253,2.7903208714263763,0.4596791285736237,0.16474059785770861
59,2015-12-31,338,220,2.6958847900678804,0.5541152099321196,0.20554113142133473
59,2015-12-31,339,227,2.2992948495392302,0.9507051504607698,0.4134768321041068
59,2015-12-31,340,225,2.4831093478277526,0.7668906521722474,0.3088428839604388
59,2015-12-31,341,255,2.2268976835814196,1.0231023164185804,0.45942942235817985
59,2015-12-31,342,232,3.0,0.25,0.08333333333333333
59,2015-12-31,343,222,3.0,0.25,0.08333333333333333
59,2015-12-31,344,247,2.1908697726038344,1.0591302273961656,0.48342911141514183
59,2015-12-31,345,244,1.7594706004647802,1.4905293995352198,0.8471465218807764
59,2015-12-31,346,252,3.0,0.25,0.08333333333333333
59,2015-12-31,347,217,2.3288954484945954,0.9211045515054046,0.3955113365440296
59,2015-12-31,348,221,2.6761563336658307,0.5738436663341693,0.2144283049219742
59,2015-12-31,349,240,2.8284840116340764,0.42151598836592363,0.14902540959473365
71,2016-12-31,350,266,2.1963308474670553,1.0536691525329447,0.479740633679166
71,2016-12-31,351,224,2.268931801244485,0.9810681987555152,0.43239210549096707
71,2016-12-31,352,223,2.5425970325746587,0.7074029674253413,0.2782206375459418
71,2016-12-31,353,230,1.9965120541437764,1.2534879458562236,0.6278389069851091
71,2016-12-31,354,256,3.0,0.25,0.08333333333333333
71,2016-12-31,355,249,3.0,0.25,0.08333333333333333
71,2016-12-31,356,250,2.573831505006855,0.6761684949931448,0.2627089200197446
71,2016-12-31,357,238,2.8287169015434617,0.42128309845653833,0.1489308096637982
71,2016-12-31,358,218,2.4075503304964,0.8424496695035999,0.34991985788720753
71,2016-12-31,359,300,2.3293404626987644,0.9206595373012356,0.39524472787226783
71,2016-12-31,360,237,2.8715231662873766,0.3784768337126234,0.13180351047000613
71,2016-12-31,361,257,2.923670846366065,0.3263291536339352,0.11161624231385055
71,2016-12-31,362,258,2.7640786494095986,0.4859213505904014,0.17579867009001107
71,2016-12-31,363,245,1.7064613159929851,1.5435386840070149,0.9045260326389726
71,2016-12-31,364,262,2.671917325740067,0.578082674259933,0.21635500046761955
83,2017-12-31,365,224,2.400506069066109,0.8494939309338911,0.3538811844222404
