paper_row,label,fold,seed,full_nll_sp_raw,tail_nll_sp_raw,sp_log_sigma,ckpt_exists,ckpt_path
4,Stage 1 (MacroExpander),F2,99,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F2_seed99_best.pt
4,Stage 1 (MacroExpander),F3,42,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F3_seed42_best.pt
4,Stage 1 (MacroExpander),F3,123,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F3_seed123_best.pt
4,Stage 1 (MacroExpander),F3,777,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F3_seed777_best.pt
4,Stage 1 (MacroExpander),F3,0,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F3_seed0_best.pt
4,Stage 1 (MacroExpander),F3,99,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1_F3_seed99_best.pt
5,Stage 1 (vix정규),F1,42,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F1_seed42_best.pt
5,Stage 1 (vix정규),F1,123,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F1_seed123_best.pt
5,Stage 1 (vix정규),F1,777,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F1_seed777_best.pt
5,Stage 1 (vix정규),F1,0,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F1_seed0_best.pt
5,Stage 1 (vix정규),F1,99,,,0.0,True,/content/drive/MyDrive/Colab Notebooks/homeostatic-market/colab/dual_3ch/result_paper_final/stage1vix_normvix_F1_seed99_best.pt
