date,margin_debt,cash_credit,margin_credit,net_margin,margin_chg,sp_ret
2009-01-01,205007,316763,,-111756.0,-0.024635440207436354,0.007821576633499472
2009-02-01,199655,310503,,-110848.0,-0.02610642563424659,-0.08565734305805428
2009-03-01,203967,291927,,-87960.0,0.021597255265332738,-0.10993119762019943
2009-04-01,208010,285658,,-77648.0,0.019821833924115184,0.08540446199532292
2009-05-01,214401,275313,,-60912.0,0.030724484399788476,0.09392507914826331
2009-06-01,217140,283874,,-66734.0,0.012775126981683815,0.05308144638516654
2009-07-01,228734,277082,,-48348.0,0.053394123606889554,0.00019582726560996022
2009-08-01,236251,281989,,-45738.0,0.03286350083503109,0.07414172714778422
2009-09-01,254107,287196,,-33089.0,0.07558063246293134,0.03356018886854417
2009-10-01,265404,299858,,-34454.0,0.04445764973023181,0.03572334572311964
2009-11-01,250988,284071,,-33083.0,-0.0543171919036638,-0.019762000526814205
2009-12-01,262399,281043,,-18644.0,0.04546432498764874,0.05736406145372763
2010-01-01,266455,281035,,-14580.0,0.015457375980853616,0.017770570919338313
2010-02-01,263657,106131,164624.0,-7098.0,-0.010500835037811296,-0.03697424569226215
2010-03-01,277798,108908,162169.0,6721.0,0.05363407760840788,0.028513689046546054
2010-04-01,295550,111217,160630.0,23703.0,0.06390254789451322,0.058796425545497355
2010-05-01,268566,114051,166706.0,-12191.0,-0.09130096430384027,0.014759230482012997
2010-06-01,263202,114265,172908.0,-23971.0,-0.01997274412993455,-0.08197584207319053
2010-07-01,267468,106290,172179.0,-11001.0,0.0162080835252012,-0.05388244223983851
2010-08-01,268371,106870,174209.0,-12708.0,0.0033761048050608977,0.06877784957463517
2010-09-01,288540,114321,173544.0,675.0,0.07515342566819805,-0.04744918363260475
2010-10-01,303428,114784,176588.0,12056.0,0.05159769875927078,0.08755110305113556
2010-11-01,309340,119305,176805.0,13230.0,0.019484029160130145,0.03685599403554063
2010-12-01,313678,126098,182426.0,5154.0,0.014023404668002781,-0.002290249746576656
2011-01-01,326868,130894,173545.0,22429.0,0.04204949024158533,0.06530004034715509
2011-02-01,348979,135760,179102.0,34117.0,0.06764504325905252,0.022645574359139164
2011-03-01,355413,133386,170139.0,51888.0,0.01843663945394991,0.03195656372809341
2011-04-01,360883,133131,175399.0,52353.0,0.015390545646895237,-0.0010473129391664893
2011-05-01,355736,133727,175508.0,46501.0,-0.014262240116602931,0.028495380666536008
2011-06-01,345273,139575,183547.0,22151.0,-0.029412260777655352,-0.01350095289522324
2011-07-01,344572,138316,182957.0,23299.0,-0.002030277490565391,-0.018257461652479323
2011-08-01,308866,135508,193533.0,-20175.0,-0.10362420626168112,-0.02147442530666621
2011-09-01,298277,141806,204307.0,-47836.0,-0.034283475682010955,-0.05679110795232889
2011-10-01,317028,133639,188141.0,-4752.0,0.06286438444801301,-0.07176198808089651
2011-11-01,303930,132934,188259.0,-17263.0,-0.04131496271622692,0.10772303843744147
2011-12-01,301616,142533,189143.0,-30060.0,-0.007613595235745119,-0.005058715107011391
2012-01-01,309844,137309,174889.0,-2354.0,0.027279719908758215,0.008532763666636134
2012-02-01,323021,139609,177639.0,5773.0,0.04252785272588788,0.043583062704985354
2012-03-01,330815,142297,182814.0,5704.0,0.024128462236201464,0.04058946376811723
2012-04-01,335154,138909,182021.0,14224.0,0.01311609207563147,0.03133231453144192
2012-05-01,315147,139111,187938.0,-11902.0,-0.05969494620383464,-0.007497452372495994
2012-06-01,320952,138937,192149.0,-10134.0,0.01841997544003271,-0.06265072571454366
2012-07-01,313525,124330,194741.0,-5546.0,-0.02314053191754528,0.03955498222833631
2012-08-01,320395,124276,196786.0,-667.0,0.02191212821944033,0.012597574204787909
2012-09-01,339159,129389,205176.0,4594.0,0.05856520857067049,0.019763369506085704
2012-10-01,342325,124800,200406.0,17119.0,0.009334854743645371,0.024236153617775313
2012-11-01,351441,135650,202425.0,13366.0,0.0266296647922295,-0.01978940971629395
2012-12-01,355009,162206,211576.0,-18773.0,0.010152486477104317,0.0028467166850427716
2013-01-01,388123,142856,199709.0,45558.0,0.09327650848288349,0.007068230956284616
2013-02-01,390351,142123,208682.0,39546.0,0.005740448259958786,0.050428096466868855
2013-03-01,403933,144530,197887.0,61516.0,0.03479432613212219,0.011060648765041536
2013-04-01,408677,140706,191719.0,76252.0,0.011744521987557377,0.03598772398287298
2013-05-01,401606,146765,199756.0,55085.0,-0.017302172620431322,0.018085767779890016
2013-06-01,407681,150093,200308.0,57280.0,0.015126766034371908,0.020762811683057825
2013-07-01,412101,144495,194790.0,72816.0,0.010841810140771901,-0.014999301595580827
2013-08-01,414442,143808,195181.0,75453.0,0.005680646249341725,0.04946207991308538
2013-09-01,432852,149895,197780.0,85177.0,0.044421173529709757,-0.031298019479343964
2013-10-01,445022,151494,199889.0,93639.0,0.02811584560080571,0.029749523259195332
2013-11-01,456378,150214,199153.0,107011.0,0.025517839567481992,0.04459575276194472
2013-12-01,478502,157000,197521.0,123981.0,0.048477358680742766,0.028049471367328715
2014-01-01,487549,151878,195863.0,139808.0,0.018906922019134687,0.023562791975445974
2014-02-01,502093,154049,190312.0,157732.0,0.029830847771198377,-0.035582905955811595
2014-03-01,487932,156083,194461.0,137388.0,-0.028203938314216637,0.0431170301781616
2014-04-01,475195,149801,194679.0,130715.0,-0.026104047285277487,0.006932165418227054
2014-05-01,475362,150474,188551.0,136337.0,0.0003514346741864127,0.006200789153414155
2014-06-01,502270,160293,184723.0,157254.0,0.056605281869396284,0.02103028007328045
2014-07-01,498671,155931,177981.0,164759.0,-0.007165468771776151,0.019058331749470137
2014-08-01,501000,155245,180820.0,164935.0,0.00467041396030643,-0.015079830845342368
2014-09-01,503901,161621,183243.0,159037.0,0.005790419161676663,0.037655295579825276
2014-10-01,492888,158624,185193.0,149071.0,-0.021855483517595697,-0.015513837249453988
2014-11-01,496341,158420,184227.0,153694.0,0.00700564834201689,0.023201460667203078
2014-12-01,495756,169295,181223.0,145238.0,-0.0011786251790603108,0.02453358864631494
2015-01-01,485872,163599,178259.0,144014.0,-0.019937227184340656,-0.004188587515997044
