date,sp_quarterly_return,tbill_quarterly_return,m2_quarterly_growth,totll_quarterly_growth,vix_quarterly_avg,top1_growth,next9_growth,mid_growth,sp_1q_lag,sp_2q_lag,sent_m1,sent_m2,sent_m3
1993-10-01,0.04066995699239406,0.0073,0.009469477586007358,0.007800597177306745,12.117187470197678,0.029303397579334867,0.010529063990763587,0.014907721267077179,0.04531238330594922,0.0648127039114923,0.24042839340625272,0.32584612965583803,0.3653825194604935
1994-01-01,-0.038465419732784945,0.007574999999999999,-0.005335781290341068,0.013680384572312354,12.421562477946281,0.036209620528736775,0.012363296266201473,0.011718599261233864,0.04066995699239406,0.08782519297861913,0.3804931111874119,0.24115260424358503,0.19488766212617198
1994-04-01,-0.05917068144902393,0.009125,0.004729905113488808,0.015319924936272544,13.436190468924385,0.013104781889787809,0.0026550659915303143,0.006716843814556173,-0.038465419732784945,0.0006401502933823799,0.15613555957873662,0.14779543636306638,0.12003285338481268
1994-07-01,0.09311690104698256,0.0105,0.002784395900909953,0.02604310669879717,14.512580640854374,0.016596691415982523,0.0017691667145647294,0.008524073486439354,-0.05917068144902393,-0.09536007608399721,0.17020039188285027,0.25800779606065444,0.20084232638279598
1994-10-01,0.026456729081318242,0.011825,0.001316768763954812,0.02626458971806156,12.516249999403954,0.023136154828057975,0.007156541361186486,0.01280296147669091,0.09311690104698256,0.028436429108587236,0.18319644130045368,0.1907949263850848,0.25668656008858837
1995-01-01,0.10606774197468893,0.013825,-0.005031446540880502,0.030986499580681004,15.268730118161155,0.02452637866935703,0.0010863206060738317,0.0028747252999528072,0.026456729081318242,0.12203719875219265,0.17699643440784946,0.09736451905752931,-0.0016428681030388802
1995-04-01,0.20324284164348994,0.01425,0.008159981611309153,0.02598872875927194,11.992380944509355,0.032345458851640085,0.016066909932251905,0.013611564371864393,0.10606774197468893,0.13533067656969866,0.06671333811245858,0.03578770812600851,-0.035843339189887045
1995-07-01,0.08744862782929808,0.01365,0.02399680802553572,0.027134659353168278,12.190317471822103,0.035217309307383315,0.008046761211274012,0.019692222761839906,0.20324284164348994,0.330868092903823,0.04011267005285669,0.12455503522388396,0.21425241579612095
1995-10-01,-0.015126198746478026,0.01315,0.009045365989423848,0.014755360564717934,12.472698453872923,0.040147903344814884,0.0044996929347587145,0.0035226037758251394,0.08744862782929808,0.3084647770906386,0.22493612189446727,0.15766112854083378,0.08016596923792554
1996-01-01,0.05806713136556563,0.012424999999999999,0.006012963729140841,0.01638050968421867,12.89968248397585,0.029362389031877045,0.02876180271172868,0.019658970945789278,-0.015126198746478026,0.07099966375816735,0.027054780872628813,0.06202117732629694,0.10518447958653973
1996-04-01,0.11089239626831526,0.012575000000000001,0.013845858580319614,0.014072936390275181,15.398253804161435,0.01254441571233178,0.02184263214012705,0.0207429479348038,0.05806713136556563,0.042062597649414224,0.12102546021342278,0.12488641565845858,0.07420971446360151
1996-07-01,0.08898570886977897,0.0127,0.014603277624533506,0.011622047316501627,16.368254010639493,0.014505696733511986,0.015988664103648853,0.016841126464341105,0.11089239626831526,0.17539873097543546,0.10220268693181776,0.1622905863388892,0.21304663717746736
1996-10-01,0.11360274576689999,0.012424999999999999,0.011701050162588489,0.02654057716299385,16.778437554836273,0.00234016009270821,0.012243448234751986,0.012659243386106578,0.08898570886977897,0.20974594362829868,0.24520435448615782,0.2606147949894269,0.32211016262731246
1997-01-01,-0.02958506407220185,0.012624999999999999,0.012408778354453753,0.020646776156151292,17.206249967217445,0.026638267237032,0.027909801743789098,0.015889056606867458,0.11360274576689999,0.21269747549829976,0.3498405112374213,0.31389148799436434,0.2371890790039493
1997-04-01,0.2010388060186088,0.01295,0.0074685125429374555,0.026330977107834608,19.909180187788166,-0.001875505274142708,0.012397323409206296,0.00925896729603104,-0.02958506407220185,0.08065673718240629,0.22436611702044804,0.22665630040630216,0.31270432074864707
1997-07-01,0.14609845207369387,0.0126,0.02154203796977927,0.018736417856665577,19.922968864440918,0.05461760453044806,0.04664604613628254,0.031571917748989486,0.2010388060186088,0.16550599598934745,0.39185696167330586,0.4040724087146021,0.2757302309075991
1997-10-01,-0.0969138628617141,0.012424999999999999,0.015246908897822875,0.013952728746263077,22.444999992847443,0.034833212795919,0.0322751865418629,0.023699044008698822,0.14609845207369387,0.3765087164583649,0.21281341679634586,0.17497401436169943,0.27002037388663136
1998-01-01,0.23195705936006572,0.01295,0.015665471209404203,0.017297485224967213,27.12140640616417,0.020305603483199652,0.02045360542745156,0.010506516184976444,-0.0969138628617141,0.03502562386340102,0.12271100583095704,0.1720848275082452,0.1568360042668158
1998-04-01,0.09558757424137077,0.012475,0.01679703783624742,0.018636811227606298,21.32459012015921,0.05857493386239088,0.05121913227237518,0.035038549968395616,0.23195705936006572,0.11256334185772365,0.19208221932252248,0.11400592567459229,0.016385977629882593
1998-07-01,0.006086720547115787,0.0124,0.0199826238053864,0.01931114203630968,21.534285651312935,0.021000139375107585,0.02181033705269808,0.018422031410664674,0.09558757424137077,0.3497168462338267,-0.0069161036653601895,0.020217153675583823,-0.14235686113437016
1998-10-01,0.36457623778688997,0.010324999999999999,0.030617073632406067,0.029166797846783554,29.75171872973442,-0.04209738751004244,-0.01921758249852623,-0.0014838132098227153,0.006086720547115787,0.10225610964067045,-0.1261479007380624,0.023523798709114394,0.04344439650735547
1999-01-01,0.14726492849949935,0.01095,0.01644056104851699,0.004593719954283815,29.537187546491623,0.0811042244075717,0.06741906934194342,0.03401458367482779,0.36457623778688997,0.37288203201153336,0.16650833574033552,0.22719030774065427,0.15645516759926273
1999-04-01,0.09038218784847496,0.0108,0.00963060089523915,0.010686717781335897,27.252786949032643,-0.00037761612568176783,0.009568850170073695,0.012024773799410138,0.14726492849949935,0.5655304598766921,0.14832556570569674,0.16676457178208134,0.1585126702984174
1999-07-01,0.04838528971881151,0.011375,0.019816390506045778,0.011659341739955309,24.395555647592698,0.035883495936378296,0.03357618560298814,0.021983221629955363,0.09038218784847496,0.25095724277910825,0.19894677905305738,0.1372331283505886,0.14395049711068472
1999-10-01,0.5398605542182013,0.011850000000000001,0.013942254912723717,0.026320229542244222,23.32062491774559,-0.013826312113874528,-0.0024335040583831624,0.005943940938507142,0.04838528971881151,0.14314064591175502,0.0881234223563825,0.20436959316333134,0.21911867635865365
