date,m2_level,m2_growth,cpi,pi_e_annual,pi_e_monthly,tb3_pct,tbill_wr,sp_close,sp_return,sp_next_return,metab_max
2001-05-01,5137.2,-0.00036971454145673377,177.3,0.035630841121495394,0.002969236760124616,3.62,0.003016666666666667,1255.8199462890625,0.005090187401275648,-0.02503538942756467,0.003016666666666667
2001-06-01,5180.1,0.008350852604531722,177.7,0.03193960511033689,0.0026616337591947405,3.49,0.0029083333333333335,1224.3800048828125,-0.02503538942756467,-0.010740149595403703,0.008350852604531722
2001-07-01,5210.0,0.0057720893419044295,177.4,0.027214823393167498,0.002267901949430625,3.51,0.002925,1211.22998046875,-0.010740149595403703,-0.06410840688075747,0.0057720893419044295
2001-08-01,5243.8,0.0064875239923225525,177.4,0.027214823393167498,0.002267901949430625,3.36,0.0028,1133.5799560546875,-0.06410840688075747,-0.08172340570563885,0.0064875239923225525
2001-09-01,5355.1,0.021225065791983022,178.1,0.025921658986175045,0.0021601382488479204,2.64,0.0022,1040.93994140625,-0.08172340570563885,0.018099111333141016,0.021225065791983022
2001-10-01,5343.8,-0.0021101379992903846,177.6,0.02127659574468077,0.0017730496453900642,2.16,0.0018000000000000002,1059.780029296875,0.018099111333141016,0.0751759041240454,0.0018000000000000002
2001-11-01,5387.5,0.008177701261274706,177.5,0.01894374282433997,0.0015786452353616642,1.87,0.0015583333333333334,1139.449951171875,0.0751759041240454,0.0075738340889277556,0.008177701261274706
2001-12-01,5440.5,0.009837587006960469,177.4,0.01603665521191311,0.0013363879343260925,1.69,0.0014083333333333333,1148.0799560546875,0.0075738340889277556,-0.015573832456979853,0.009837587006960469
2002-01-01,5460.9,0.003749655362558446,177.7,0.011958997722095743,0.0009965831435079786,1.65,0.0013750000000000001,1130.199951171875,-0.015573832456979853,-0.020766211039727644,0.003749655362558446
2002-02-01,5490.2,0.005365415957076625,178.0,0.011363636363636465,0.0009469696969697053,1.72,0.0014333333333333333,1106.72998046875,-0.020766211039727644,0.03673889286207466,0.005365415957076625
2002-03-01,5502.0,0.0021492841790826667,178.5,0.013628620102214661,0.0011357183418512218,1.79,0.0014916666666666665,1147.3900146484375,0.03673889286207466,-0.061417625919219065,0.0021492841790826667
2002-04-01,5502.1,1.8175209014925642e-05,179.3,0.01643990929705219,0.0013699924414210158,1.71,0.001425,1076.9200439453125,-0.061417625919219065,-0.009081481352177012,0.001425
