date,sp_next_return,sp_return,ndx_return,m2_growth,m2_3m,vix,sentiment,ndx_1m,ndx_3m,sp_1m,tbill,metabolism
1991-03-31,0.0003197993624997064,0.022202832522042026,0.059132770770672805,0.008149539505574399,0.013060155869459189,17.918499851226805,-0.19736931521085002,0.07611058280793892,0.2987589734918754,0.06728117681278034,0.005075,0.008149539505574399
1991-04-30,0.0386049724936075,0.0003197993624997064,-0.004718672753478037,0.013225127742711118,0.02157529392195734,17.37272735075517,-0.12739275147517523,0.059132770770672805,0.3210242875972442,0.022202832522042026,0.0048,0.013225127742711118
1991-05-31,-0.04789262897479862,0.0386049724936075,0.05820106310045081,-0.010649658854939181,0.010604006373622354,16.932272737676445,-0.13629361722738512,-0.004718672753478037,0.1343659043454315,0.0003197993624997064,0.0046166666666666665,0.0046166666666666665
1991-06-30,0.04485934295776639,-0.04789262897479862,-0.08890678378416217,0.008785343767803155,0.011241358581304484,17.13499994277954,-0.016189887033154566,0.05820106310045081,0.11548685153808336,0.0386049724936075,0.004666666666666666,0.008785343767803155
1991-07-31,0.019648784624321625,0.04485934295776639,0.07065438320025952,0.0019646365422396617,2.914026316025442e-06,17.294090964577414,-0.026111212855715667,-0.08890678378416217,-0.04042955589524777,-0.04789262897479862,0.0046500000000000005,0.0046500000000000005
1991-08-31,-0.019143735843086374,0.019648784624321625,0.05603424544249114,-0.0018419489007723833,0.00890545871020576,15.681363712657582,-0.01938913267616543,0.07065438320025952,0.03223910048872347,0.04485934295776639,0.004625,0.004625
1991-09-30,0.011834236654519215,-0.019143735843086374,0.00045234036765084973,0.002505592841163251,0.0026249600606478296,16.956499767303466,-0.031210118035475413,0.05603424544249114,0.03012544365339398,0.019648784624321625,0.00445,0.00445
1991-10-31,-0.04390370862630699,0.011834236654519215,0.01728485630411636,0.0007140944389896209,0.00137359381417812,16.36391299703847,-0.039702331121530265,0.00045234036765084973,0.1311591312860303,-0.019143735843086374,0.0042499999999999994,0.0042499999999999994
1991-11-30,0.11158785507428148,-0.04390370862630699,-0.026375604550703424,0.003508458954003535,0.006741237882177398,17.77350010871887,-0.11913506612181664,0.01728485630411636,0.07477358929577638,0.011834236654519215,0.003958333333333334,0.003958333333333334
1991-12-31,-0.019923751783923582,0.11158785507428148,0.16175076744007377,0.005955026219891524,0.010205245319633516,18.347619102114724,-0.11412559089160734,-0.026375604550703424,-0.0090986247472441,-0.04390370862630699,0.00365,0.005955026219891524
1992-01-31,0.00958954312696414,-0.019923751783923582,0.022547615140658728,0.00035341933203736353,0.009841149433581498,17.68318167599765,-0.012312342765771093,0.16175076744007377,0.15065994321555842,0.11158785507428148,0.0032166666666666663,0.0032166666666666663
1992-02-29,-0.02183186212532784,0.00958954312696414,0.02236082463625433,-0.00011776482364722618,0.006192042188842395,17.47736850537752,0.07463333112637288,0.022547615140658728,0.15661269651419052,-0.019923751783923582,0.0031999999999999997,0.0031999999999999997
1992-03-31,0.027892713957560433,-0.02183186212532784,-0.06600559953611307,0.00589327282906571,0.0061302742481217365,17.520454623482443,0.0964872726509648,0.02236082463625433,0.21450891711411457,0.00958954312696414,0.0033583333333333334,0.00589327282906571
