date,sp_next_return,sp_return,ndx_return,m2_growth,m2_3m,vix,sentiment,ndx_1m,ndx_3m,sp_1m,tbill,metabolism,yield_curve,credit_spread,sp_52wh_ratio,sp_52wl_ratio,sp_in_range,ndx_52wh_ratio,ndx_52wl_ratio,ndx_in_range,sp_3m_mean,sp_3m_std,sp_6m_mean,sp_6m_std,ndx_3m_mean,ndx_3m_std,ndx_6m_mean,ndx_6m_std,vix_3m_mean,vix_3m_std,vix_6m_mean,vix_6m_std,mich,rv,vov,vrp,gamma
2015-10-31,0.0005048691103348,0.0829831178126665,0.1118783306089554,-0.0021120361502002,0.0134012819340409,16.789545449343596,0.0191942812356677,-0.0218781769956387,-0.0490587884099663,-0.0264428312800014,-1.6666666666666667e-05,-1.6666666666666667e-05,0.0141,0.0138999999999999,0.9110938778148742,1.0,0.0,0.9111226666530468,1.0078655976911448,0.0740780154799206,-0.0020135105744001,0.0757945159859456,0.000530201339474,0.0498826632991651,0.0071674636965685,0.0936302337701753,0.0102949199493995,0.063287319770287,20.19826122451826,3.851983282632069,17.104259415656802,4.190217362834396,2.7,0.12902433455125562,0.07426029095600024,0.006063210173805872,0.081648079959697
2015-11-30,-0.0175301850326925,0.0005048691103348,0.0033728243959227,0.0128886265249901,0.018201023269833,16.209999990463256,0.0782359793859844,0.1118783306089554,0.0130575495781695,0.0829831178126665,6.666666666666667e-05,0.0128886265249901,0.0127,0.014,0.986699288415985,1.0829831178126663,0.8503959990476837,1.0,1.120623918239027,0.999999999980016,0.0190150518809999,0.0570129786396077,-0.0011342175262351,0.0496498827060614,0.0311243260030797,0.0710655346334177,0.0073079455705772,0.0630869447886892,19.12556276686092,4.557223754308137,17.582842735638696,3.821887288983231,2.7,0.11991421120639814,0.07207864603617853,0.011638269243380461,0.16146625780871146
2015-12-31,-0.0507353220469523,-0.0175301850326925,-0.0152727188221899,0.0067508499271491,0.0175727864345973,18.02545473792336,0.1585876326407155,0.0033728243959227,0.0912205831621801,0.0005048691103348,0.000175,0.0067508499271491,0.0121,0.0148999999999999,0.9871974424078956,1.0835298825358644,0.8559991451487677,1.0,1.1244035859291184,0.9999999999806232,0.0219859339634362,0.0535892537981085,-0.0005539697017288,0.0493907859692944,0.0333261453942294,0.0686640256756119,0.0088842039023343,0.0622388057331323,17.008333392576734,0.9272918138843734,18.19716094028725,3.476973385000814,2.6,0.18409755165136507,0.025587893887467465,-0.0007315018583775312,-0.028587810376054786
2016-01-31,-0.0041283603090035,-0.0507353220469523,-0.0683826764637504,0.010830237831058,0.0307703659976388,23.717894805105107,0.0750682933503412,-0.0152727188221899,0.09858982056243,-0.0175301850326925,0.0001833333333333,0.010830237831058,0.0118,0.0145,0.9698916885786844,1.064535403206559,0.6613471526543422,0.98472728117781,1.107230886118561,0.861959768407159,-0.0225868793231033,0.025991670114074,-0.0123001949487517,0.0519146345267504,-0.0267608569633392,0.0372316527214173,-0.0097966966333853,0.066381216762958,19.317783177830574,3.9172318969364497,19.758022201174416,3.5079288554404147,2.5,0.23089524879096354,0.03316091670972567,-0.012508612831965513,-0.37720950061362135
2016-02-29,0.0659911144400584,-0.0041283603090035,-0.0182394731016666,0.0029612010823147,0.0206676797901061,22.516999816894533,-0.0478171610177077,-0.0683826764637504,-0.0795168139161356,-0.0507353220469523,0.0002916666666666,0.0029612010823147,0.0096,0.0138,0.9206839214079824,1.010525856694492,0.1078670777320311,0.9173889941039992,1.0234653082965397,0.2029370622265758,-0.0241312891295494,0.0239944400243853,-0.0025581186242747,0.045705220456281,-0.0339649561292023,0.0298435087164539,-0.0014203150630612,0.060393397690855,21.420116453307667,3.0005555010030114,20.272839610084294,3.672620542687236,2.5,0.2005385352753493,0.031244340302187448,0.002014542733936392,0.06447704494485204
2016-03-31,0.0026993982833325,0.0659911144400584,0.0672535017284035,0.0108787343424214,0.0248526260544996,15.849090966311367,-0.0237764155064078,-0.0182394731016666,-0.0993436977777255,-0.0041283603090035,0.000275,0.0108787343424214,0.0105,0.0131,0.916883006449704,1.0063540418564925,0.0651150729807602,0.9006563022222743,1.004797840335376,0.0414935789629889,0.0037091440280341,0.0587565749462463,0.0128475389957352,0.051282254278879,-0.0064562159456711,0.0685815359302098,0.013434964724279,0.0651311068472249,20.69466186277033,4.239127879368008,18.85149762767353,3.407159431453328,2.7,0.08878968214373716,0.03543289117396817,0.01157664181266386,0.32672021472436286
2016-04-30,0.0153246025252884,0.0026993982833325,-0.0317509237099642,0.0124621137571343,0.0265071396074609,14.300476255871,-0.0094200930926793,0.0672535017284035,-0.0238631438637773,0.0659911144400584,0.0001916666666666,0.0124621137571343,0.0106,0.0116999999999999,0.9773891378564712,1.0727644665998597,0.7456771075901221,0.9612285924004776,1.0723740136270672,0.6259184631803507,0.0215207174714624,0.0386635063950128,-0.0005330809258204,0.0381027228072745,0.0057543683055909,0.0536865661334639,-0.0105032443288741,0.0449949919581634,17.555522346358963,4.365975938816214,18.43665276209477,3.833307921954832,2.8,0.10147887905758446,0.05276575591254038,0.014351036506308678,0.27197632741385575
2016-05-31,0.0009109212401243,0.0153246025252884,0.0420589086784788,-0.0079476063953758,0.0153422323823673,14.852857044764928,0.0373244881104197,-0.0317509237099642,0.0145191436532805,0.0026993982833325,0.0001833333333333,0.0001833333333333,0.0097,0.0102999999999999,0.9800275004173488,1.0756602851594197,0.7753529330101424,0.9307086966953336,1.038325148131846,0.3314507047163805,0.0280050384162264,0.0334970957592452,0.0019368746433385,0.0386597261441834,0.0258538288989726,0.0514531099360422,-0.0040555636151148,0.0498869634926191,15.00080808898243,0.784836934631534,18.21046227114505,4.026161558397014,2.4,0.11133845965285645,0.02910063226621309,0.007739356211257079,0.2659514796949191
2016-06-30,0.0356098007533154,0.0009109212401243,-0.0234731477107159,0.0073769528955716,0.0118249889477501,17.774545496160332,0.0391744317719712,0.0420589086784788,0.0768295146360473,0.0153246025252884,0.00025,0.0073769528955716,0.0091,0.0103,0.9967249712759024,1.092144351481726,0.9625149092433322,0.9698532887759088,1.0819959707156914,0.7091328697314698,0.006311640682915,0.0078565115294634,0.0050103923554746,0.0375187399279635,-0.0043883875807337,0.0404369124837286,-0.0054223017632024,0.0503657736856033,15.642626265598752,1.866839799825753,18.168644064184544,4.029768915070275,2.6,0.1899331643634966,0.02179933023843607,-0.011644916567388707,-0.5341868965706414
2016-07-31,-0.0012192428990193,0.0356098007533154,0.0707449060232441,0.0019823223489354,0.0013517922901229,13.158500051498413,-0.0218314313359798,-0.0234731477107159,-0.0147111865393178,0.0009109212401243,0.000225,0.0019823223489354,0.0079,0.0093999999999999,0.9976329092227998,1.0931392089687726,0.9729069207823624,0.9470877792707484,1.0565981194726826,0.4894824286211819,0.017281774839576,0.0174320381042668,0.0194012461555192,0.0269237378920764,0.0297768889970023,0.0482948901846352,0.0177656286512966,0.0475287488849674,15.261967530807889,2.335058335275314,16.40874493858343,3.3739910252646363,2.7,0.08311817857343906,0.04410159802203105,0.0071810581189511585,0.16282988465324646
