date,sp_return,m2_growth,cpi_inflation,m2_growth_lagged
2007-07-31,-0.0182815192395978,0.0107724391288135,0.0082514181366073,0.0171951168115982
2007-10-31,0.0646684011135443,0.0149480098924672,0.0076443982023379,0.0107724391288135
2008-01-31,-0.1102569773175872,0.0120353791682932,0.0142645441942732,0.0149480098924672
2008-04-30,0.0051067547371037,0.0259394745593615,0.0083327834701707,0.0120353791682932
2008-07-31,-0.0853138113392124,0.0102042139384117,0.0237167082667264,0.0259394745593615
2008-10-31,-0.2356278335876264,0.023577882739501,-0.0092276363370712,0.0102042139384117
2009-01-31,-0.1474787046370967,0.0393860738065681,-0.0233277264453098,0.023577882739501
2009-04-30,0.0568242267621437,0.0123175292556401,0.0036615345415769,0.0393860738065681
2009-07-31,0.1313802353672721,0.0086281893911406,0.0094824384487726,0.0123175292556401
2009-10-31,0.0493275427359831,0.0028829680392272,0.0083036055251808,0.0086281893911406
2010-01-31,0.0363640411909427,-0.0012017106704836,0.0045217519825966,0.0028829680392272
2010-04-30,0.1050592220678918,0.0090944477865457,-0.0003908261605238,-0.0012017106704836
2010-07-31,-0.0717036210144995,0.0099008743629307,0.0009291500117294,0.0090944477865457
2010-10-31,0.0741285729751879,0.0149198448984315,0.0065715401760069,0.0099008743629307
2011-01-31,0.0869293177346004,0.0091920989005975,0.0098249138265573,0.0149198448984315
2011-04-30,0.0602509801018329,0.0210306249293705,0.0131382043248471,0.0091920989005975
2011-07-31,-0.052309646321853,0.0342110214607476,0.0058100877760574,0.0210306249293705
2011-10-31,-0.0301637258063632,0.0257057854069904,0.0060116684043567,0.0342110214607476
2012-01-31,0.0471634748652824,0.0180710320938191,0.0048158765159869,0.0257057854069904
2012-04-30,0.0651473226912968,0.0153828810363203,0.0059032136304983,0.0180710320938191
2012-07-31,-0.0132984866236645,0.0168353906557525,-0.0026048597869862,0.0153828810363203
2012-10-31,0.0238088979855459,0.0216288649560771,0.0133339166192747,0.0168353906557525
2013-01-31,0.0608641719717004,0.0209572111460885,0.0001770003194638,0.0216288649560771
2013-04-30,0.0663902930425763,0.0098209952322492,0.0005093254028203,0.0209572111460885
2013-07-31,0.0551838336621637,0.0123924495584895,0.004758474009586,0.0098209952322492
2013-10-31,0.0420055758716826,0.0226663439699146,0.0033018462859597,0.0123924495584895
2014-01-31,0.0148302493416068,0.0131527447821377,0.0069286041366205,0.0226663439699146
2014-04-30,0.0568610770255955,0.0131976138282963,0.00501513039339,0.0131527447821377
2014-07-31,0.0247990095195342,0.015543949564184,0.004355769068119,0.0131976138282963
2014-10-31,0.0452589012590944,0.0122326028114905,-0.0002863182005742,0.015543949564184
2015-01-31,-0.0114269012342587,0.0182953653466286,-0.0113001726824748,0.0122326028114905
2015-04-30,0.045373671033114,0.012655439975604,0.0062833603837322,0.0182953653466286
2015-07-31,0.0087892544457555,0.0094022384688738,0.0076707503958139,0.012655439975604
2015-10-31,-0.011635856075589,0.0131101350791416,-0.0012645252358906,0.0094022384688738
2016-01-31,-0.0669052545015832,0.0239914275431076,-0.0003407183689265,0.0131101350791416
2016-04-30,0.0644559741182548,0.0179494348364421,0.0056384966253177,0.0239914275431076
2016-07-31,0.052437924886302,0.0132384330466444,0.0046403226886255,0.0179494348364421
2016-10-31,-0.021830232416563,0.0163337696233707,0.0068304588485679,0.0132384330466444
2017-01-31,0.0718294672804582,0.0146996067912337,0.0077645082960688,0.0163337696233707
2017-04-30,0.0462202006116827,0.0154704596829307,0.0023602525264965,0.0146996067912337
2017-07-31,0.0361127839189536,0.0089781610300478,0.0002047560740887,0.0154704596829307
2017-10-31,0.0424887498938808,0.0115076485549472,0.0097566767522507,0.0089781610300478
2018-01-31,0.0965145452830393,0.0072608169506016,0.0090541954214073,0.0115076485549472
2018-04-30,-0.0622421501866712,0.0097551851398891,0.0054970887128855,0.0072608169506016
2018-07-31,0.0635335386915472,0.0098818030906462,0.003944418468031,0.0097551851398891
