date,sp_quarterly_return,tbill_quarterly_return,hvol,top1_quarterly_growth,next9_quarterly_growth,mid_quarterly_growth,sp_1q_lag,sp_2q_lag,top1_1q_lag,next9_1q_lag,mid_1q_lag,m2_quarterly_growth,vix_quarterly_avg,sent_m1,sent_m2,sent_m3
1993-04-01,0.11119283651370737,0.0072499999999999995,0.21239284552143065,0.033808178821240986,0.014524373806517499,0.005651978934716251,0.15900515483779243,0.16047880547676074,0.033808178821240986,0.014524373806517499,0.005651978934716251,0.007575535132278377,21.239284552143065,0.23770084256126034,0.1588676817715168,0.0937949420223313
1993-07-01,0.08126159008584,0.007475000000000001,0.20111351743662398,0.01786997464117146,0.006453259844145576,0.011646849962570593,0.11119283651370737,0.28787822553821507,0.01786997464117146,0.006453259844145576,0.011646849962570593,0.006323765117295599,20.111351743662397,0.11507638171315193,0.10593642078099712,0.12848816427492327
1993-10-01,0.548735062679149,0.0073,0.15532626143578648,0.029303397579334867,0.010529063990763587,0.014907721267077179,0.08126159008584,0.20149013330080612,0.029303397579334867,0.010529063990763587,0.014907721267077179,0.009469477586007358,15.532626143578648,0.21256674627463024,0.24042839340625272,0.32584612965583803
1994-01-01,-0.24044445897483124,0.007574999999999999,0.30304457720316247,0.036209620528736775,0.012363296266201473,0.011718599261233864,0.548735062679149,0.6745877364941497,0.036209620528736775,0.012363296266201473,0.011718599261233864,-0.005335781290341068,30.304457720316247,0.3653825194604935,0.3804931111874119,0.24115260424358503
1994-04-01,-0.030066776847491705,0.009125,0.4257245996754093,0.013104781889787809,0.0026550659915303143,0.006716843814556173,-0.24044445897483124,0.17635029843790972,0.013104781889787809,0.0026550659915303143,0.006716843814556173,0.004729905113488808,42.57245996754093,0.19488766212617198,0.15613555957873662,0.14779543636306638
1994-07-01,0.08709350688100548,0.0105,0.29316918372828965,0.016596691415982523,0.0017691667145647294,0.008524073486439354,-0.030066776847491705,-0.26328184593011084,0.016596691415982523,0.0017691667145647294,0.008524073486439354,0.002784395900909953,29.316918372828965,0.12003285338481268,0.17020039188285027,0.25800779606065444
1994-10-01,-0.13970929799032972,0.011825,0.20099624229771015,0.023136154828057975,0.007156541361186486,0.01280296147669091,0.08709350688100548,0.05440810899725701,0.023136154828057975,0.007156541361186486,0.01280296147669091,0.001316768763954812,20.099624229771017,0.20084232638279598,0.18319644130045368,0.1907949263850848
1995-01-01,0.048431228825845496,0.013825,0.22311847545196678,0.02452637866935703,0.0010863206060738317,0.0028747252999528072,-0.13970929799032972,-0.06478356381518546,0.02452637866935703,0.0010863206060738317,0.0028747252999528072,-0.005031446540880502,22.311847545196677,0.25668656008858837,0.17699643440784946,0.09736451905752931
1995-04-01,0.07205652160810927,0.01425,0.30322307522800546,0.032345458851640085,0.016066909932251905,0.013611564371864393,0.048431228825845496,-0.09804436214455214,0.032345458851640085,0.016066909932251905,0.013611564371864393,0.008159981611309153,30.322307522800546,-0.0016428681030388802,0.06671333811245858,0.03578770812600851
1995-07-01,0.04777057564628251,0.01365,0.1861623161040756,0.035217309307383315,0.008046761211274012,0.019692222761839906,0.07205652160810927,0.12397753632035169,0.035217309307383315,0.008046761211274012,0.019692222761839906,0.02399680802553572,18.61623161040756,-0.035843339189887045,0.04011267005285669,0.12455503522388396
